# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -3487.12 0.004725 -60.3611
2000 -3485.58 0.249052 -60.0984
4000 -3484.25 0.86435 -59.1168
6000 -3483.16 1.0403 -57.414
8000 -3482.33 1.89785 -55.4218
10000 -3481.62 1.95791 -52.9555
12000 -3480.63 1.82026 -50.4843
14000 -3479.29 0.716463 -47.9025
16000 -3477.96 -0.638056 -45.4723
18000 -3476.74 -1.79396 -43.262
20000 -3475.88 -3.50447 -41.3383
22000 -3475.37 -3.89478 -40.0074
24000 -3475.2 -4.04283 -38.8029
26000 -3475.2 -3.42433 -37.7225
28000 -3474.95 -2.01931 -36.6868
30000 -3474.31 -0.550503 -35.3035
32000 -3473.35 1.82895 -33.8285
34000 -3472.14 3.2473 -31.9846
36000 -3470.88 4.67588 -29.845
38000 -3469.74 5.05943 -27.0617
40000 -3468.94 4.4537 -23.6879
42000 -3468.32 3.50154 -19.7553
44000 -3467.86 1.48356 -15.1013
46000 -3467.6 -0.198924 -10.5756
48000 -3467.5 -2.32088 -5.68881
50000 -3467.52 -3.71642 -0.87119
52000 -3467.78 -4.31438 3.69277
54000 -3468.29 -4.37216 7.84353
56000 -3468.94 -3.36096 11.4163
58000 -3469.63 -2.20422 14.4891
60000 -3470.23 -0.472766 17.0067
62000 -3470.63 0.805865 19.268
64000 -3470.85 1.77111 21.1206
66000 -3470.9 2.52545 22.7444
68000 -3471.05 2.16401 24.3756
70000 -3471.32 1.93837 25.8933
72000 -3471.79 1.04571 27.6803
74000 -3472.46 0.443645 29.8283
76000 -3473.2 -0.00596154 32.2391
78000 -3473.96 -0.263048 35.1387
80000 -3474.68 0.160968 38.3774
82000 -3475.4 0.358291 41.832
84000 -3476.11 0.87474 45.1571
86000 -3476.93 0.99254 48.4569
88000 -3477.92 0.913881 51.4409
90000 -3479.01 0.506777 53.7105
92000 -3480.24 -0.530518 55.7221
94000 -3481.55 -1.31793 56.9798
96000 -3482.92 -2.55329 57.6221
98000 -3484.31 -3.24356 57.5226
100000 -3485.75 -3.45855 56.9438
102000 -3487.2 -3.09345 55.9079
104000 -3488.61 -1.91191 54.5004
106000 -3489.88 -0.459016 52.9415
108000 -3490.94 1.60971 51.464
110000 -3491.82 3.17645 50.2174
112000 -3492.48 4.47723 49.1991
114000 -3492.95 5.06443 48.4901
116000 -3493.47 4.49768 48.0383
118000 -3494.06 3.50881 47.8211
120000 -3494.76 1.48784 47.8231
122000 -3495.71 -0.43705 47.6856
124000 -3496.89 -2.44236 47.3023
126000 -3498.21 -3.93909 46.7083
128000 -3499.59 -4.6231 45.4922
130000 -3500.98 -4.7415 43.8441
132000 -3502.24 -3.77695 41.5292
134000 -3503.33 -2.48486 38.6213
136000 -3504.23 -0.685818 35.1038
138000 -3504.92 0.969899 31.1691
140000 -3505.39 2.24436 26.9163
142000 -3505.62 3.14489 22.3927
144000 -3505.76 3.0894 18.0105
146000 -3505.81 2.69003 13.773
148000 -3505.79 1.74569 9.95494
150000 -3505.85 0.811385 6.46361
152000 -3505.94 -0.0199761 3.45034
154000 -3506.01 -0.665625 0.944351
156000 -3506.05 -0.680717 -1.37724
158000 -3506.06 -0.586699 -3.29067
160000 -3506.01 -0.0583788 -5.20694
162000 -3505.85 0.223232 -6.99874
164000 -3505.7 0.382574 -9.12909
166000 -3505.47 0.282771 -11.5874
168000 -3505.25 -0.366562 -14.3499
170000 -3504.97 -0.95729 -17.6451
172000 -3504.7 -1.93189 -21.2993
174000 -3504.4 -2.41774 -25.1776
176000 -3504.01 -2.74727 -29.3611
178000 -3503.55 -2.43981 -33.5751
180000 -3503.01 -1.49069 -37.6825
182000 -3502.35 -0.313962 -41.4832
184000 -3501.49 1.34073 -44.8348
186000 -3500.38 2.85475 -47.6761
188000 -3499.04 4.09952 -49.7764
190000 -3497.53 4.63108 -51.2621
192000 -3495.95 4.31273 -52.1365
194000 -3494.41 3.30116 -52.4787
196000 -3493.09 1.56854 -52.3133
198000 -3491.97 -0.387712 -52.1582
200000 -3491.1 -2.48649 -51.7256
