# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -198.426 4.11535 9.40917
2000 -198.322 4.2073 9.18553
4000 -198.216 4.05844 8.95712
6000 -198.118 3.53095 8.81461
8000 -198.092 2.76113 8.73612
10000 -198.159 1.54789 8.79595
12000 -198.335 0.272561 8.92245
14000 -198.653 -1.09078 9.04202
16000 -199.096 -2.33211 9.0914
18000 -199.643 -3.34026 8.9895
20000 -200.279 -4.22921 8.72502
22000 -200.962 -4.78413 8.31275
24000 -201.686 -5.13893 7.73944
26000 -202.399 -5.11852 7.06513
28000 -203.067 -4.74762 6.28052
30000 -203.673 -4.05812 5.30949
32000 -204.148 -3.06271 4.20904
34000 -204.496 -1.92091 2.95264
36000 -204.685 -0.621061 1.569
38000 -204.707 0.667078 0.1837
40000 -204.572 1.94257 -1.14007
42000 -204.285 3.03539 -2.33168
44000 -203.866 3.84202 -3.35506
46000 -203.358 4.34464 -4.2029
48000 -202.801 4.46776 -4.96557
50000 -202.215 4.34692 -5.60639
52000 -201.647 3.98968 -6.16463
54000 -201.092 3.45491 -6.70488
56000 -200.589 2.75461 -7.07765
58000 -200.147 1.82937 -7.38475
60000 -199.796 0.75021 -7.61343
62000 -199.549 -0.378086 -7.74408
64000 -199.394 -1.43821 -7.96997
66000 -199.321 -2.19688 -8.273
68000 -199.293 -2.67517 -8.68722
70000 -199.276 -2.82598 -9.26022
72000 -199.249 -2.73604 -9.87247
74000 -199.188 -2.51869 -10.4729
76000 -199.069 -2.11939 -11.0024
78000 -198.906 -1.619 -11.4091
80000 -198.671 -1.03165 -11.6763
82000 -198.374 -0.418606 -11.814
84000 -198.031 0.170623 -11.806
86000 -197.633 0.583532 -11.6335
88000 -197.212 0.917352 -11.2255
90000 -196.786 1.11894 -10.5937
92000 -196.368 1.14941 -9.6475
94000 -195.982 1.1328 -8.46324
96000 -195.653 0.876933 -7.05015
98000 -195.393 0.507204 -5.54838
100000 -195.222 0.028233 -3.97151
102000 -195.147 -0.496604 -2.40614
104000 -195.159 -0.982187 -0.848045
106000 -195.268 -1.34685 0.713732
108000 -195.449 -1.64432 2.21537
110000 -195.703 -1.84201 3.64837
112000 -196.011 -1.87045 4.92
114000 -196.352 -1.69828 5.96846
116000 -196.682 -1.21724 6.72558
118000 -196.985 -0.445486 7.23003
120000 -197.207 0.472916 7.49192
122000 -197.351 1.46158 7.63216
124000 -197.41 2.28731 7.68617
126000 -197.402 2.9097 7.76743
128000 -197.347 3.34715 7.8393
130000 -197.26 3.59667 7.91174
132000 -197.159 3.67673 7.97028
134000 -197.058 3.53749 8.02484
136000 -196.988 3.09896 8.09034
138000 -196.976 2.34516 8.23111
140000 -197.055 1.32487 8.48689
142000 -197.252 0.132195 8.84358
144000 -197.571 -1.10319 9.28779
146000 -198.027 -2.2579 9.72951
148000 -198.588 -3.29535 10.0747
150000 -199.257 -4.14193 10.2516
152000 -199.994 -4.73937 10.2341
154000 -200.767 -5.0272 10.0226
156000 -201.55 -4.96471 9.65876
158000 -202.286 -4.56631 9.14378
160000 -202.955 -3.8268 8.48546
162000 -203.529 -2.90058 7.68089
164000 -203.966 -1.77633 6.73747
166000 -204.268 -0.510996 5.63508
168000 -204.407 0.833391 4.40905
170000 -204.378 2.14644 3.15621
172000 -204.199 3.30325 1.93786
174000 -203.879 4.18821 0.846337
176000 -203.47 4.68956 -0.123755
178000 -202.999 4.83978 -0.932046
180000 -202.505 4.68135 -1.66619
182000 -202.018 4.28679 -2.34854
184000 -201.561 3.71472 -2.9853
186000 -201.142 2.92706 -3.6299
188000 -200.792 1.96094 -4.23802
190000 -200.528 0.796424 -4.78097
192000 -200.357 -0.439984 -5.29706
194000 -200.285 -1.56699 -5.81487
196000 -200.298 -2.50309 -6.38538
198000 -200.357 -3.10649 -7.11274
200000 -200.438 -3.42638 -7.94361
