# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -491.29 -8.10269 -19.3987
2000 -490.165 -7.71768 -20.6123
4000 -489.121 -6.73208 -21.7551
6000 -488.201 -5.13085 -22.7962
8000 -487.462 -3.34259 -23.6882
10000 -486.914 -1.23541 -24.4054
12000 -486.521 0.722249 -24.9352
14000 -486.29 2.647 -25.2083
16000 -486.217 4.29636 -25.2485
18000 -486.274 5.62318 -25.0854
20000 -486.485 6.69037 -24.6619
22000 -486.786 7.3389 -24.0895
24000 -487.187 7.83797 -23.2935
26000 -487.646 7.99435 -22.3659
28000 -488.09 7.93873 -21.314
30000 -488.547 7.55574 -20.1725
32000 -488.932 6.77877 -18.9874
34000 -489.24 5.62822 -17.7983
36000 -489.444 3.9386 -16.6116
38000 -489.48 1.93401 -15.4108
40000 -489.34 -0.43418 -14.2877
42000 -488.965 -3.00356 -13.2157
44000 -488.348 -5.47268 -12.2316
46000 -487.522 -7.71547 -11.2958
48000 -486.493 -9.41165 -10.4162
50000 -485.348 -10.4537 -9.62418
52000 -484.165 -10.7304 -8.90451
54000 -482.989 -10.2323 -8.20171
56000 -481.92 -9.03621 -7.61556
58000 -481.013 -7.28602 -7.01915
60000 -480.278 -5.17755 -6.47831
62000 -479.796 -2.89019 -5.96432
64000 -479.525 -0.633949 -5.46845
66000 -479.477 1.46462 -4.98272
68000 -479.641 3.32447 -4.55119
70000 -479.977 4.90622 -4.10925
72000 -480.47 6.20017 -3.66795
74000 -481.093 7.25539 -3.22594
76000 -481.792 8.02642 -2.72788
78000 -482.58 8.51881 -2.2095
80000 -483.386 8.68302 -1.6337
82000 -484.205 8.48203 -0.96748
84000 -484.999 7.77995 -0.236337
86000 -485.708 6.60989 0.583283
88000 -486.299 4.95304 1.54786
90000 -486.711 2.84965 2.59158
92000 -486.932 0.48403 3.80327
94000 -486.928 -1.99067 5.09246
96000 -486.7 -4.34601 6.56388
98000 -486.296 -6.31935 8.06915
100000 -485.73 -7.80367 9.66126
102000 -485.082 -8.62132 11.3204
104000 -484.411 -8.73559 12.927
106000 -483.784 -8.17573 14.5083
108000 -483.277 -7.11398 16.0388
110000 -482.903 -5.63318 17.3396
112000 -482.72 -4.02882 18.544
114000 -482.7 -2.3546 19.5252
116000 -482.856 -0.795385 20.2298
118000 -483.161 0.544869 20.7258
120000 -483.598 1.74201 20.9509
122000 -484.136 2.69258 20.9637
124000 -484.769 3.54564 20.7832
126000 -485.471 4.22306 20.3979
128000 -486.235 4.78687 19.8564
130000 -487.051 5.2467 19.2538
132000 -487.872 5.50001 18.5953
134000 -488.702 5.44869 17.9892
136000 -489.493 5.07414 17.3973
138000 -490.221 4.34382 17.0062
140000 -490.849 3.2437 16.7219
142000 -491.361 1.85085 16.6457
144000 -491.731 0.292574 16.8097
146000 -491.947 -1.26072 17.1737
148000 -492.029 -2.64374 17.7202
150000 -491.993 -3.74031 18.4669
152000 -491.891 -4.37684 19.3001
154000 -491.744 -4.55455 20.1839
156000 -491.63 -4.25383 21.0756
158000 -491.571 -3.6608 21.9013
160000 -491.59 -2.82188 22.5544
162000 -491.727 -1.94901 23.0277
164000 -491.93 -1.14224 23.2594
166000 -492.214 -0.503561 23.1971
168000 -492.552 -0.0665596 22.8302
170000 -492.893 0.203933 22.1828
172000 -493.259 0.309947 21.2611
174000 -493.618 0.402799 20.0813
176000 -493.962 0.538859 18.6862
178000 -494.318 0.757498 17.1387
180000 -494.665 1.0864 15.5334
182000 -495.027 1.46585 13.9228
184000 -495.39 1.87486 12.3434
186000 -495.765 2.16064 10.8875
188000 -496.136 2.33437 9.59647
190000 -496.507 2.23871 8.52783
192000 -496.841 1.93739 7.68831
194000 -497.128 1.44974 7.09655
196000 -497.351 0.828586 6.74523
198000 -497.508 0.236953 6.56723
200000 -497.603 -0.257977 6.59135
