# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -491.29 -8.10269 -19.3987
2000 -489.133 -8.90954 -19.6339
4000 -487.027 -9.49349 -18.3703
6000 -485.086 -9.76904 -15.6219
8000 -483.464 -9.82383 -11.8579
10000 -482.229 -9.56404 -7.02523
12000 -481.436 -9.07248 -1.74205
14000 -481.121 -8.29562 3.91312
16000 -481.333 -7.32721 9.43563
18000 -482.053 -6.23927 14.4918
20000 -483.274 -5.0061 18.8882
22000 -484.885 -3.8807 22.0585
24000 -486.837 -2.71151 24.1802
26000 -488.939 -1.72059 24.8404
28000 -491.07 -0.964273 24.1405
30000 -493.106 -0.44573 22.0964
32000 -494.873 -0.25972 18.7671
34000 -496.331 -0.379357 14.4059
36000 -497.344 -0.814348 9.26301
38000 -497.877 -1.49019 3.76636
40000 -497.888 -2.44678 -1.84023
42000 -497.37 -3.58361 -7.08476
44000 -496.356 -4.84405 -11.6029
46000 -494.918 -6.1031 -15.1635
48000 -493.156 -7.33625 -17.4062
50000 -491.185 -8.45655 -18.2952
52000 -489.163 -9.41548 -17.7167
54000 -487.22 -10.1264 -15.7774
56000 -485.49 -10.5839 -12.6046
58000 -484.091 -10.747 -8.44578
60000 -483.076 -10.5979 -3.57808
62000 -482.529 -10.1423 1.70061
64000 -482.458 -9.4448 6.97165
66000 -482.881 -8.50946 12.0222
68000 -483.776 -7.33602 16.4351
70000 -485.094 -6.11463 19.9809
72000 -486.748 -4.81466 22.4808
74000 -488.625 -3.54272 23.7419
76000 -490.617 -2.43361 23.7111
78000 -492.585 -1.4992 22.3251
80000 -494.39 -0.812233 19.6721
82000 -495.947 -0.428522 15.9608
84000 -497.146 -0.343897 11.394
86000 -497.904 -0.592321 6.26032
88000 -498.182 -1.1279 0.899101
90000 -497.98 -1.92051 -4.31057
92000 -497.27 -2.91914 -9.00051
94000 -496.151 -4.02497 -12.8673
96000 -494.667 -5.24672 -15.648
98000 -492.942 -6.41107 -17.1093
100000 -491.087 -7.5387 -17.2357
102000 -489.23 -8.51817 -15.9606
104000 -487.517 -9.32023 -13.4601
106000 -486.035 -9.86951 -9.90344
108000 -484.897 -10.1583 -5.55549
110000 -484.162 -10.1597 -0.703741
112000 -483.87 -9.88112 4.32524
114000 -484.035 -9.32513 9.23991
116000 -484.647 -8.56994 13.6938
118000 -485.668 -7.566 17.5017
120000 -487.031 -6.43074 20.3046
122000 -488.657 -5.21968 22.0397
124000 -490.435 -3.99493 22.54
126000 -492.273 -2.83201 21.8272
128000 -494.018 -1.88203 19.8195
130000 -495.587 -1.06234 16.7317
132000 -496.863 -0.50883 12.7086
134000 -497.757 -0.22254 8.02951
136000 -498.235 -0.212553 2.91424
138000 -498.244 -0.483641 -2.16274
140000 -497.81 -0.982613 -6.95083
142000 -496.948 -1.67221 -11.0929
144000 -495.734 -2.55174 -14.2437
146000 -494.247 -3.46516 -16.2525
148000 -492.581 -4.48367 -16.9596
150000 -490.858 -5.44477 -16.3629
152000 -489.217 -6.32413 -14.4959
154000 -487.738 -7.11065 -11.4943
156000 -486.551 -7.72144 -7.6356
158000 -485.72 -8.14151 -3.15773
160000 -485.274 -8.34585 1.62143
162000 -485.251 -8.32139 6.37386
164000 -485.642 -8.04415 10.8614
166000 -486.425 -7.56575 14.7796
168000 -487.556 -6.8507 17.8786
170000 -488.956 -6.00324 19.9839
172000 -490.54 -5.01272 20.9593
174000 -492.198 -3.99151 20.7539
176000 -493.823 -2.96427 19.3524
178000 -495.326 -1.99004 16.8226
180000 -496.591 -1.14188 13.3149
182000 -497.553 -0.434519 9.0017
184000 -498.135 0.0376187 4.22598
186000 -498.3 0.314953 -0.733409
188000 -498.035 0.421295 -5.56645
190000 -497.367 0.259782 -9.83696
192000 -496.338 -0.0179661 -13.3925
194000 -495.028 -0.496172 -15.8364
196000 -493.523 -1.11621 -17.0708
198000 -491.933 -1.73088 -17.0089
200000 -490.375 -2.49029 -15.7087
