# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -491.29 -8.10269 -19.3987
2000 -490.128 -8.9651 -18.7205
4000 -489.125 -9.28178 -17.1565
6000 -488.302 -8.99869 -14.8381
8000 -487.671 -8.02237 -12.1782
10000 -487.235 -6.55785 -9.02332
12000 -486.935 -4.64062 -5.75084
14000 -486.776 -2.5943 -2.12594
16000 -486.807 -0.516794 1.58461
18000 -487.044 1.30304 5.34413
20000 -487.52 2.75373 9.10058
22000 -488.255 3.81601 12.397
24000 -489.219 4.28699 15.2546
26000 -490.365 4.37113 17.2222
28000 -491.642 4.11736 18.0679
30000 -492.928 3.51612 17.6997
32000 -494.148 2.8414 15.9369
34000 -495.205 1.97681 12.9768
36000 -496.025 1.03569 8.95887
38000 -496.554 -0.0479984 4.27774
40000 -496.747 -1.19083 -0.662101
42000 -496.622 -2.4867 -5.50113
44000 -496.156 -3.79561 -9.78044
46000 -495.427 -5.11169 -13.2822
48000 -494.507 -6.30339 -15.7844
50000 -493.472 -7.20029 -17.3004
52000 -492.396 -7.7116 -17.787
54000 -491.342 -7.67864 -17.453
56000 -490.333 -7.02899 -16.3591
58000 -489.397 -5.82103 -14.5883
60000 -488.556 -4.12558 -12.3514
62000 -487.813 -2.14013 -9.52839
64000 -487.205 -0.0483002 -6.28712
66000 -486.776 1.95254 -2.60375
68000 -486.545 3.64789 1.42525
70000 -486.601 4.91111 5.63833
72000 -486.957 5.59217 9.78055
74000 -487.636 5.81048 13.5269
76000 -488.608 5.55488 16.6338
78000 -489.81 4.92113 18.6559
80000 -491.17 4.07028 19.4647
82000 -492.575 3.10137 18.8737
84000 -493.933 2.04091 16.9418
86000 -495.122 0.963657 13.7988
88000 -496.085 -0.0644879 9.68157
90000 -496.74 -1.16876 5.0434
92000 -497.04 -2.2577 0.232524
94000 -497.038 -3.33486 -4.36036
96000 -496.71 -4.33758 -8.43802
98000 -496.109 -5.18945 -11.7761
100000 -495.318 -5.75725 -14.2999
102000 -494.362 -5.92689 -16.0087
104000 -493.305 -5.61531 -16.8377
106000 -492.178 -4.75235 -16.9495
108000 -491.014 -3.39196 -16.3169
110000 -489.853 -1.6217 -14.9784
112000 -488.706 0.341521 -12.9773
114000 -487.654 2.37389 -10.1916
116000 -486.755 4.20217 -6.77467
118000 -486.08 5.69191 -2.64566
120000 -485.707 6.67272 1.85507
122000 -485.693 7.08321 6.61145
124000 -486.054 6.98811 11.1965
126000 -486.809 6.42125 15.2677
128000 -487.906 5.51958 18.4772
130000 -489.263 4.44166 20.4591
132000 -490.803 3.27302 21.0431
134000 -492.375 2.16372 20.2034
136000 -493.888 1.11495 18.0188
138000 -495.218 0.105416 14.6559
140000 -496.288 -0.812663 10.5198
142000 -497.051 -1.69666 5.90788
144000 -497.461 -2.49651 1.23343
146000 -497.528 -3.21426 -3.22806
148000 -497.282 -3.73135 -7.25722
150000 -496.738 -4.03141 -10.6426
152000 -495.955 -3.9634 -13.3863
154000 -494.958 -3.45437 -15.4298
156000 -493.777 -2.48697 -16.7028
158000 -492.453 -1.06537 -17.2669
160000 -491.033 0.628828 -16.9922
162000 -489.567 2.54217 -15.8515
164000 -488.127 4.38399 -13.7694
166000 -486.817 6.01375 -10.7453
168000 -485.709 7.23324 -6.84038
170000 -484.912 7.94491 -2.14722
172000 -484.517 8.11508 2.96613
174000 -484.556 7.74837 8.24537
176000 -485.054 6.92617 13.1851
178000 -485.994 5.85403 17.4053
180000 -487.297 4.63009 20.5079
182000 -488.877 3.40238 22.2992
184000 -490.602 2.27124 22.5783
186000 -492.346 1.27043 21.3959
188000 -494.003 0.401424 18.9292
190000 -495.426 -0.33709 15.4135
192000 -496.585 -0.975801 11.2314
194000 -497.396 -1.54668 6.65258
196000 -497.851 -1.97105 2.02534
198000 -497.96 -2.29398 -2.44387
200000 -497.7 -2.36624 -6.55189
