# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -1413.51 1.24053 28.1016
2000 -1415.78 0.898049 27.6841
4000 -1417.99 0.588364 25.7858
6000 -1419.83 0.0580377 22.8597
8000 -1421.56 0.173916 17.8985
10000 -1422.79 -0.0521639 12.2342
12000 -1423.51 -0.174586 5.76046
14000 -1423.72 -0.498556 -0.803914
16000 -1423.43 -1.09385 -7.23683
18000 -1422.66 -1.32301 -13.8117
20000 -1421.4 -1.43362 -19.7691
22000 -1419.66 -1.08532 -25.2508
24000 -1417.59 -0.711994 -28.8894
26000 -1415.26 -0.229533 -30.5141
28000 -1412.79 0.105406 -29.9956
30000 -1410.47 0.579863 -27.4528
32000 -1408.37 1.18723 -23.4199
34000 -1406.59 1.58302 -18.1448
36000 -1405.26 2.15671 -12.2522
38000 -1404.45 2.15326 -5.21741
40000 -1404.17 1.92608 1.94579
42000 -1404.47 1.63996 8.9123
44000 -1405.39 1.28385 15.1947
46000 -1406.71 1.0891 20.2399
48000 -1408.44 0.9468 24.2443
50000 -1410.49 0.765437 26.9402
52000 -1412.67 0.160835 28.6244
54000 -1415 -0.258242 28.6499
56000 -1417.28 -0.620355 27.0706
58000 -1419.36 -0.933901 23.9128
60000 -1421.16 -1.04553 19.3674
62000 -1422.58 -1.19952 14.0694
64000 -1423.55 -1.33856 8.22441
66000 -1424.07 -1.4919 2.01856
68000 -1424.03 -1.29518 -4.91308
70000 -1423.44 -0.927839 -11.979
72000 -1422.26 -0.389823 -18.745
74000 -1420.48 0.0959914 -24.5549
76000 -1418.37 0.381787 -28.6153
78000 -1415.91 0.626045 -30.7829
80000 -1413.38 0.726734 -30.957
82000 -1410.9 1.2108 -29.5403
84000 -1408.56 1.55791 -26.119
86000 -1406.57 1.82637 -21.1382
88000 -1404.97 1.81833 -14.6761
90000 -1404 1.44779 -7.16308
92000 -1403.64 1.10403 0.275442
94000 -1403.88 0.571353 7.33414
96000 -1404.73 0.289111 13.4807
98000 -1406.02 -0.112918 18.8459
100000 -1407.74 -0.582874 23.2841
102000 -1409.83 -1.12137 26.7048
104000 -1412.17 -1.61696 28.797
106000 -1414.57 -1.73523 29.0083
108000 -1416.97 -1.63282 27.5552
110000 -1419.15 -1.38593 24.5518
112000 -1421.04 -1.17465 20.6998
114000 -1422.58 -1.12396 15.9062
116000 -1423.69 -1.10187 10.3599
118000 -1424.33 -0.869267 3.86556
120000 -1424.39 -0.53086 -3.37167
122000 -1423.87 -0.186449 -10.6877
124000 -1422.72 0.232144 -17.6368
126000 -1421.06 0.426886 -23.4589
128000 -1418.96 0.603417 -28.0013
130000 -1416.53 0.966152 -30.9386
132000 -1413.93 1.29861 -32.0952
134000 -1411.29 1.54274 -31.2619
136000 -1408.77 1.521 -28.0981
138000 -1406.65 1.13943 -22.8736
140000 -1405.02 0.409142 -16.1281
142000 -1403.99 -0.242516 -8.82349
144000 -1403.64 -0.730516 -1.61834
146000 -1403.82 -1.09783 5.30594
148000 -1404.58 -1.27929 11.6353
150000 -1405.87 -1.56007 17.4915
152000 -1407.54 -1.7972 22.5127
154000 -1409.63 -1.86225 26.1537
156000 -1411.94 -1.64375 28.1971
158000 -1414.29 -1.4407 28.5941
160000 -1416.63 -1.17557 27.5486
162000 -1418.83 -1.03461 25.2247
164000 -1420.79 -1.06004 22.0023
166000 -1422.43 -1.01195 17.5424
168000 -1423.67 -0.720603 11.9116
170000 -1424.4 -0.238638 5.22739
172000 -1424.52 0.287995 -2.01165
174000 -1424.05 0.651478 -9.16014
176000 -1423.01 0.877145 -15.9452
178000 -1421.43 0.906266 -21.9563
180000 -1419.4 0.928207 -27.0947
182000 -1416.99 0.96 -30.8403
184000 -1414.4 0.798366 -32.4872
186000 -1411.75 0.507692 -31.7899
188000 -1409.3 -0.0802921 -28.7249
190000 -1407.22 -0.632113 -23.6632
192000 -1405.59 -1.05915 -17.3965
194000 -1404.55 -1.25015 -10.651
196000 -1404.07 -1.27178 -3.69252
198000 -1404.14 -1.3895 3.36077
200000 -1404.77 -1.61517 10.0149
