# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -1413.51 1.24053 28.1016
2000 -1416.12 1.23403 27.3005
4000 -1418.58 1.13027 24.6496
6000 -1420.56 1.25431 20.9572
8000 -1422.3 0.971448 15.2288
10000 -1423.44 1.01637 8.82768
12000 -1423.95 0.934973 1.36125
14000 -1423.76 0.799963 -6.55566
16000 -1422.9 0.833922 -14.3086
18000 -1421.36 0.661953 -21.628
20000 -1419.2 0.549401 -27.2067
22000 -1416.64 0.355793 -31.1517
24000 -1413.83 0.258075 -32.2149
26000 -1411.01 -0.0110862 -30.8345
28000 -1408.42 -0.115218 -27.0818
30000 -1406.25 -0.228853 -21.093
32000 -1404.68 -0.313456 -13.9799
34000 -1403.78 -0.103666 -6.06385
36000 -1403.57 -0.0281637 1.61263
38000 -1404.06 0.247751 8.97149
40000 -1405.16 0.460804 15.4191
42000 -1406.79 0.65781 20.8593
44000 -1408.85 0.840124 24.9189
46000 -1411.23 0.835706 27.4738
48000 -1413.77 0.836685 28.4267
50000 -1416.27 0.707523 27.4049
52000 -1418.66 0.666765 24.894
54000 -1420.72 0.581935 20.5871
56000 -1422.31 0.549465 15.0606
58000 -1423.4 0.565744 8.40597
60000 -1423.82 0.613829 0.77469
62000 -1423.58 0.753024 -7.01873
64000 -1422.64 0.616844 -14.951
66000 -1421.02 0.697762 -21.877
68000 -1418.88 0.554687 -27.403
70000 -1416.27 0.285028 -30.8013
72000 -1413.52 0.0560661 -31.6583
74000 -1410.76 -0.365594 -29.9978
76000 -1408.24 -0.647616 -25.8751
78000 -1406.17 -0.934713 -20.0536
80000 -1404.67 -1.01405 -12.7414
82000 -1403.8 -1.01117 -5.21932
84000 -1403.64 -0.859519 2.42278
86000 -1404.15 -0.610706 9.70605
88000 -1405.26 -0.323877 16.0181
90000 -1406.94 -0.105837 21.4487
92000 -1409.01 0.0271769 25.4432
94000 -1411.39 0.229444 27.9745
96000 -1413.95 0.205734 28.694
98000 -1416.44 0.240659 27.6535
100000 -1418.79 0.341557 24.7807
102000 -1420.83 0.237389 20.3353
104000 -1422.37 0.289127 14.6597
106000 -1423.38 0.311538 7.74719
108000 -1423.76 0.292518 0.198104
110000 -1423.43 0.383664 -7.80413
112000 -1422.42 0.335534 -15.4392
114000 -1420.77 0.264493 -22.1296
116000 -1418.56 0.130508 -27.3982
118000 -1416 -0.101954 -30.3879
120000 -1413.25 -0.377762 -30.9495
122000 -1410.56 -0.580824 -29.0368
124000 -1408.15 -0.903489 -24.9305
126000 -1406.15 -1.05398 -18.9544
128000 -1404.71 -1.20291 -11.9191
130000 -1403.94 -1.32186 -4.31593
132000 -1403.85 -1.27856 3.2518
134000 -1404.38 -1.27427 10.366
136000 -1405.54 -1.19337 16.7346
138000 -1407.21 -1.07972 22.0609
140000 -1409.3 -0.950267 26.0357
142000 -1411.66 -0.799007 28.4043
144000 -1414.21 -0.627148 28.9492
146000 -1416.71 -0.441846 27.6578
148000 -1418.98 -0.251332 24.5557
150000 -1420.98 -0.0532901 19.9065
152000 -1422.48 0.104386 13.935
154000 -1423.4 0.214084 7.06228
156000 -1423.72 0.192095 -0.497702
158000 -1423.3 0.162486 -8.2793
160000 -1422.25 -0.00218232 -15.7186
162000 -1420.56 -0.280606 -22.2103
164000 -1418.35 -0.433077 -27.0854
166000 -1415.8 -0.720201 -29.9549
168000 -1413.08 -0.892534 -30.2951
170000 -1410.44 -0.972597 -28.2999
172000 -1408.05 -1.08531 -24.0589
174000 -1406.15 -1.12419 -18.1438
176000 -1404.8 -1.19759 -11.1181
178000 -1404.1 -1.25147 -3.47375
180000 -1404.08 -1.3477 4.01453
182000 -1404.68 -1.48168 11.2086
184000 -1405.88 -1.60182 17.4926
186000 -1407.61 -1.67553 22.7168
188000 -1409.72 -1.70072 26.631
190000 -1412.09 -1.6881 28.7172
192000 -1414.59 -1.46613 29.0131
194000 -1417.04 -1.22325 27.4419
196000 -1419.27 -0.955485 24.0863
198000 -1421.17 -0.583055 19.2732
200000 -1422.59 -0.276755 13.2453
