# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -1413.51 1.24053 28.1016
2000 -1416.26 1.16766 27.2247
4000 -1418.84 0.992015 24.2822
6000 -1420.88 0.982713 20.1305
8000 -1422.6 0.72831 13.7257
10000 -1423.61 0.756275 6.56473
12000 -1423.87 0.77028 -1.72274
14000 -1423.33 0.733203 -10.2618
16000 -1422.02 0.784478 -18.2043
18000 -1420.01 0.597094 -25.1105
20000 -1417.42 0.329598 -29.4904
22000 -1414.53 -0.00924525 -31.5744
24000 -1411.58 -0.319405 -30.3891
26000 -1408.84 -0.751601 -26.6097
28000 -1406.55 -0.982772 -20.7235
30000 -1404.91 -1.17817 -13.1822
32000 -1404 -1.31409 -5.18401
34000 -1403.86 -1.26742 3.01458
36000 -1404.47 -1.35676 10.4686
38000 -1405.75 -1.38307 17.3199
40000 -1407.62 -1.44363 22.8432
42000 -1409.92 -1.45898 26.8689
44000 -1412.5 -1.36376 28.9264
46000 -1415.23 -1.27956 28.7088
48000 -1417.84 -1.03621 26.5913
50000 -1420.1 -0.821153 22.2694
52000 -1421.96 -0.556729 16.6362
54000 -1423.17 -0.342998 9.64673
56000 -1423.67 -0.299044 1.96111
58000 -1423.51 -0.375716 -5.9382
60000 -1422.5 -0.501006 -13.802
62000 -1420.82 -0.644031 -20.6354
64000 -1418.62 -0.897574 -26.1149
66000 -1415.93 -0.947831 -29.1503
68000 -1413.12 -1.04654 -29.7049
70000 -1410.38 -1.13509 -27.4528
72000 -1407.96 -1.14779 -22.521
74000 -1406.1 -1.33234 -15.8239
76000 -1404.96 -1.44624 -7.75925
78000 -1404.57 -1.6635 0.427134
80000 -1404.96 -1.80337 8.46717
82000 -1406.05 -1.82033 15.5201
84000 -1407.75 -1.80906 21.2646
86000 -1409.9 -1.68496 25.4471
88000 -1412.36 -1.4238 27.7454
90000 -1414.99 -1.22968 28.2353
92000 -1417.55 -1.10846 26.6824
94000 -1419.87 -1.03401 23.5249
96000 -1421.84 -1.05946 18.7477
98000 -1423.3 -1.06215 12.6087
100000 -1424.14 -1.04663 5.52309
102000 -1424.26 -1.00292 -2.44282
104000 -1423.63 -0.887583 -10.6119
106000 -1422.23 -0.723067 -18.4195
108000 -1420.15 -0.533796 -24.8321
110000 -1417.59 -0.471323 -29.0185
112000 -1414.75 -0.456858 -30.5396
114000 -1411.9 -0.402072 -29.0323
116000 -1409.34 -0.448801 -24.8502
118000 -1407.25 -0.407948 -18.6111
120000 -1405.82 -0.296666 -11.1444
122000 -1405.14 -0.14258 -3.27323
124000 -1405.17 0.0926119 4.44769
126000 -1405.95 0.326326 11.5426
128000 -1407.35 0.536401 17.8002
130000 -1409.27 0.515112 22.7889
132000 -1411.61 0.492855 26.236
134000 -1414.2 0.410304 27.9412
136000 -1416.85 0.233649 27.4255
138000 -1419.31 0.22947 24.9301
140000 -1421.51 0.261673 20.4605
142000 -1423.15 0.294836 14.3784
144000 -1424.2 0.454966 7.18705
146000 -1424.53 0.578996 -0.830508
148000 -1424.06 0.598992 -9.05346
150000 -1422.88 0.58132 -16.9576
152000 -1420.97 0.621113 -23.6607
154000 -1418.49 0.677584 -28.648
156000 -1415.69 0.809411 -31.3236
158000 -1412.75 1.08072 -31.2307
160000 -1409.93 1.35907 -28.4381
162000 -1407.53 1.66879 -23.2475
164000 -1405.71 1.93194 -16.2813
166000 -1404.6 2.13059 -8.18548
168000 -1404.28 2.15736 0.131011
170000 -1404.75 2.12361 8.22031
172000 -1405.93 2.00151 15.4889
174000 -1407.71 1.9065 21.2862
176000 -1410.02 1.84311 25.5197
178000 -1412.6 1.84909 27.6888
180000 -1415.26 1.82783 27.7778
182000 -1417.9 1.73438 25.7575
184000 -1420.21 1.6916 21.9963
186000 -1422.1 1.40723 16.7408
188000 -1423.44 1.15406 10.1712
190000 -1424.09 0.929368 2.74671
192000 -1423.99 0.636697 -5.50209
194000 -1423.09 0.523327 -13.7444
196000 -1421.44 0.483052 -21.3846
198000 -1419.11 0.49135 -27.6041
200000 -1416.31 0.520003 -31.4706
