# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -88.3847 0.202312 6.43743
2000 -88.4905 0.415028 7.18831
4000 -88.6228 0.59742 7.89462
6000 -88.7742 0.72557 8.53797
8000 -88.9386 0.700391 9.05296
10000 -89.1039 0.625174 9.40965
12000 -89.2524 0.448381 9.5977
14000 -89.3908 0.281076 9.56153
16000 -89.5068 0.0847844 9.33476
18000 -89.597 -0.17869 8.90849
20000 -89.6566 -0.462637 8.29521
22000 -89.6772 -0.799497 7.57028
24000 -89.6611 -1.06566 6.74035
26000 -89.614 -1.25603 5.88805
28000 -89.5398 -1.33711 5.05097
30000 -89.4581 -1.32563 4.2939
32000 -89.3647 -1.28304 3.65335
34000 -89.2818 -1.1254 3.14094
36000 -89.2081 -0.890872 2.83014
38000 -89.167 -0.497358 2.68301
40000 -89.1662 0.0166196 2.73911
42000 -89.2202 0.544791 2.95337
44000 -89.3356 1.06308 3.31286
46000 -89.4907 1.48142 3.76953
48000 -89.703 1.82228 4.27233
50000 -89.9386 2.07774 4.80655
52000 -90.2078 2.23841 5.30579
54000 -90.4897 2.25772 5.73049
56000 -90.7648 2.08051 6.07502
58000 -91.0231 1.73657 6.29545
60000 -91.231 1.20672 6.36647
62000 -91.3901 0.59839 6.28014
64000 -91.4808 -0.0491613 6.03872
66000 -91.5057 -0.716448 5.63446
68000 -91.4557 -1.38809 5.08035
70000 -91.343 -2.03668 4.43006
72000 -91.1517 -2.57211 3.69604
74000 -90.9169 -2.95671 2.90835
76000 -90.6411 -3.0934 2.11919
78000 -90.3573 -3.02543 1.34144
80000 -90.0824 -2.76685 0.633464
82000 -89.8304 -2.34203 0.00704781
84000 -89.625 -1.75302 -0.460726
86000 -89.4787 -0.988501 -0.804241
88000 -89.4127 -0.0702864 -0.965531
90000 -89.4442 0.907454 -0.968579
92000 -89.565 1.83079 -0.811614
94000 -89.7812 2.59721 -0.566125
96000 -90.0573 3.1721 -0.22893
98000 -90.3932 3.53216 0.136185
100000 -90.7532 3.71566 0.495394
102000 -91.1256 3.69046 0.821508
104000 -91.4918 3.42917 1.0603
106000 -91.8165 2.9132 1.18701
108000 -92.0796 2.14463 1.19358
110000 -92.2625 1.21992 1.04643
112000 -92.338 0.214458 0.753808
114000 -92.3169 -0.793767 0.318088
116000 -92.191 -1.74846 -0.216946
118000 -91.971 -2.62533 -0.817651
120000 -91.6639 -3.39238 -1.4713
122000 -91.2826 -3.95996 -2.10442
124000 -90.8506 -4.28211 -2.74528
126000 -90.3957 -4.29722 -3.33362
128000 -89.9424 -4.0643 -3.84457
130000 -89.5272 -3.54986 -4.31736
132000 -89.1603 -2.85675 -4.65898
134000 -88.8737 -1.9036 -4.93121
136000 -88.6865 -0.771275 -5.09457
138000 -88.6159 0.499206 -5.16021
140000 -88.6782 1.77233 -5.15544
142000 -88.8509 2.89401 -5.08967
144000 -89.1374 3.78376 -4.98988
146000 -89.4843 4.40011 -4.88667
148000 -89.8917 4.74633 -4.75556
150000 -90.3169 4.83805 -4.66442
152000 -90.7408 4.65849 -4.58265
154000 -91.1291 4.1345 -4.54462
156000 -91.45 3.30166 -4.57357
158000 -91.674 2.19201 -4.66479
160000 -91.7771 0.92313 -4.83207
162000 -91.7515 -0.390784 -5.07342
164000 -91.5985 -1.62428 -5.36428
166000 -91.3214 -2.75353 -5.72749
168000 -90.9382 -3.7067 -6.07545
170000 -90.4719 -4.45813 -6.45173
172000 -89.9351 -4.92781 -6.80424
174000 -89.3755 -5.07544 -7.11241
176000 -88.8016 -4.89531 -7.38182
178000 -88.264 -4.41741 -7.57714
180000 -87.7861 -3.67893 -7.71861
182000 -87.3832 -2.69105 -7.77519
184000 -87.1001 -1.52133 -7.76609
186000 -86.932 -0.163577 -7.70934
188000 -86.9077 1.23646 -7.60627
190000 -87.0151 2.54452 -7.48885
192000 -87.2477 3.64669 -7.38479
194000 -87.574 4.44236 -7.27195
196000 -87.966 4.93783 -7.21452
198000 -88.3955 5.16155 -7.17576
200000 -88.8285 5.11045 -7.19062
