# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -88.3847 0.202312 6.43743
2000 -88.4535 0.375433 7.2009
4000 -88.5418 0.523013 7.92826
6000 -88.6424 0.626518 8.59831
8000 -88.752 0.594892 9.1463
10000 -88.8607 0.536569 9.53494
12000 -88.9534 0.401871 9.75691
14000 -89.0424 0.302103 9.75112
16000 -89.1159 0.193622 9.55626
18000 -89.1757 0.028444 9.16108
20000 -89.2177 -0.154332 8.5819
22000 -89.2327 -0.396717 7.89715
24000 -89.2255 -0.590674 7.10979
26000 -89.1954 -0.738059 6.31394
28000 -89.1471 -0.814066 5.53872
30000 -89.0914 -0.845366 4.85245
32000 -89.0248 -0.880406 4.28381
34000 -88.962 -0.842821 3.84772
36000 -88.8949 -0.752682 3.607
38000 -88.8508 -0.53372 3.5287
40000 -88.8264 -0.201658 3.64399
42000 -88.8435 0.138043 3.92279
44000 -88.8977 0.489545 4.35756
46000 -88.9798 0.767833 4.89514
48000 -89.1021 1.00778 5.5152
50000 -89.2392 1.21735 6.17041
52000 -89.4064 1.36739 6.82467
54000 -89.5845 1.43077 7.43189
56000 -89.7631 1.3455 7.96848
58000 -89.9304 1.14417 8.37644
60000 -90.0726 0.805326 8.64755
62000 -90.1814 0.460434 8.7375
64000 -90.254 0.0884325 8.65106
66000 -90.2888 -0.293886 8.36416
68000 -90.2818 -0.683094 7.8938
70000 -90.2359 -1.08438 7.29551
72000 -90.1431 -1.41695 6.55459
74000 -90.0301 -1.65586 5.75933
76000 -89.8847 -1.73416 4.94829
78000 -89.7404 -1.70094 4.18701
80000 -89.5936 -1.58887 3.50509
82000 -89.463 -1.38957 2.95116
84000 -89.3494 -1.13154 2.58358
86000 -89.2642 -0.741206 2.38134
88000 -89.226 -0.237019 2.38308
90000 -89.2417 0.326882 2.56566
92000 -89.3139 0.873697 2.91706
94000 -89.4406 1.32879 3.38203
96000 -89.612 1.70018 3.92821
98000 -89.8123 1.95088 4.52224
100000 -90.0456 2.14187 5.11186
102000 -90.2841 2.20233 5.65476
104000 -90.535 2.11883 6.13621
106000 -90.7663 1.85876 6.50864
108000 -90.9651 1.42049 6.76374
110000 -91.1187 0.885976 6.8762
112000 -91.2105 0.285653 6.82648
114000 -91.2478 -0.302792 6.61418
116000 -91.2214 -0.906193 6.24676
118000 -91.1363 -1.48219 5.75678
120000 -90.9908 -2.01383 5.11716
122000 -90.7982 -2.41673 4.42598
124000 -90.5669 -2.61774 3.67318
126000 -90.3251 -2.63794 2.92869
128000 -90.0825 -2.46527 2.22396
130000 -89.8622 -2.17054 1.60351
132000 -89.6755 -1.75037 1.1036
134000 -89.525 -1.20838 0.776411
136000 -89.4455 -0.517651 0.626143
138000 -89.4299 0.257258 0.672552
140000 -89.4969 1.04312 0.896424
142000 -89.6411 1.72356 1.26061
144000 -89.8439 2.25926 1.74474
146000 -90.1019 2.63473 2.27263
148000 -90.3847 2.86441 2.81482
150000 -90.6892 2.95235 3.34837
152000 -91.0041 2.88714 3.79861
154000 -91.293 2.59972 4.15145
156000 -91.5515 2.11553 4.40831
158000 -91.7543 1.44998 4.49936
160000 -91.8841 0.70082 4.44982
162000 -91.9388 -0.0920157 4.26221
164000 -91.9133 -0.864385 3.93316
166000 -91.8128 -1.62182 3.48585
168000 -91.6314 -2.31538 2.9446
170000 -91.3907 -2.89853 2.34493
172000 -91.0947 -3.28612 1.70997
174000 -90.7669 -3.42728 1.06631
176000 -90.4376 -3.33245 0.422691
178000 -90.1196 -3.03334 -0.154755
180000 -89.8404 -2.55487 -0.665617
182000 -89.612 -1.90551 -1.07325
184000 -89.454 -1.09019 -1.30389
186000 -89.3849 -0.125577 -1.40965
188000 -89.4121 0.888672 -1.33865
190000 -89.5392 1.82972 -1.12381
192000 -89.7567 2.61729 -0.795006
194000 -90.0378 3.16914 -0.373842
196000 -90.3722 3.52455 0.0894827
198000 -90.7338 3.68752 0.556917
200000 -91.0984 3.64895 1.00648
