# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -1374.22 6.27474 -36.9111
2000 -1373.96 5.89935 -37.2657
4000 -1373.73 5.43825 -37.4187
6000 -1373.55 5.0581 -37.3441
8000 -1373.37 4.12046 -37.0768
10000 -1373.15 3.14223 -36.5031
12000 -1372.7 1.57388 -35.7135
14000 -1371.97 -0.103047 -34.6155
16000 -1371.06 -2.04841 -33.2318
18000 -1369.97 -4.15833 -31.6689
20000 -1368.79 -5.89954 -29.8512
22000 -1367.54 -7.62154 -27.9292
24000 -1366.27 -8.49248 -25.8591
26000 -1365.02 -8.69788 -23.7282
28000 -1363.78 -8.23372 -21.5981
30000 -1362.6 -6.96404 -19.4529
32000 -1361.57 -5.50397 -17.4184
34000 -1360.72 -3.61414 -15.5779
36000 -1360.07 -1.98764 -14.0167
38000 -1359.68 -0.507282 -12.638
40000 -1359.48 0.618629 -11.4666
42000 -1359.39 1.17727 -10.4953
44000 -1359.35 1.51854 -9.68474
46000 -1359.3 1.45583 -9.08985
48000 -1359.24 1.52712 -8.54853
50000 -1359.18 1.65381 -8.06203
52000 -1359.17 1.98594 -7.51347
54000 -1359.25 2.63702 -6.81687
56000 -1359.43 3.34274 -6.01248
58000 -1359.7 4.22224 -4.89579
60000 -1360.08 4.83199 -3.51786
62000 -1360.51 5.31632 -1.76026
64000 -1361.01 5.33235 0.333256
66000 -1361.5 4.94605 2.77972
68000 -1362.01 4.29875 5.59674
70000 -1362.51 3.20506 8.55086
72000 -1363 2.20334 11.7657
74000 -1363.48 1.17392 15.143
76000 -1363.94 0.423637 18.5275
78000 -1364.38 -0.101901 21.922
80000 -1364.83 -0.335064 25.1755
82000 -1365.33 -0.324804 28.1538
84000 -1365.89 -0.386382 30.838
86000 -1366.51 -0.535297 33.1248
88000 -1367.14 -0.990628 35.0264
90000 -1367.77 -1.86792 36.5459
92000 -1368.3 -3.00007 37.5927
94000 -1368.73 -4.39616 38.202
96000 -1369.02 -5.7846 38.4427
98000 -1369.21 -6.96647 38.3655
100000 -1369.27 -7.66913 38.0067
102000 -1369.3 -7.79511 37.4598
104000 -1369.34 -7.24317 36.6684
106000 -1369.43 -6.00276 35.8445
108000 -1369.66 -4.25404 34.9362
110000 -1370.07 -2.13688 34.1035
112000 -1370.66 0.00310116 33.195
114000 -1371.43 1.98424 32.3798
116000 -1372.37 3.69178 31.6462
118000 -1373.44 4.97307 30.9298
120000 -1374.6 5.79659 30.2375
122000 -1375.8 6.17139 29.6028
124000 -1377.02 6.33028 28.9267
126000 -1378.24 6.28443 28.2308
128000 -1379.4 6.14295 27.4292
130000 -1380.55 5.95757 26.5292
132000 -1381.66 5.68759 25.5204
134000 -1382.72 5.29201 24.3246
136000 -1383.68 4.53367 23.0192
138000 -1384.54 3.41936 21.5094
140000 -1385.22 1.87434 19.9009
142000 -1385.71 -0.0292617 18.1115
144000 -1385.94 -2.179 16.2348
146000 -1385.93 -4.38141 14.2966
148000 -1385.69 -6.44666 12.2846
150000 -1385.21 -7.98583 10.2375
152000 -1384.58 -8.9045 8.17178
154000 -1383.86 -8.97804 6.09894
156000 -1383.11 -8.25609 4.09615
158000 -1382.43 -6.74061 2.12059
160000 -1381.89 -4.74274 0.139727
162000 -1381.51 -2.35885 -1.75677
164000 -1381.35 -0.0407572 -3.66121
166000 -1381.37 2.09773 -5.52916
168000 -1381.55 3.86695 -7.353
170000 -1381.82 5.07458 -9.13495
172000 -1382.14 5.82297 -10.9935
174000 -1382.47 6.11629 -12.7896
176000 -1382.76 6.11419 -14.5846
178000 -1383.02 5.93105 -16.4706
180000 -1383.23 5.60201 -18.27
182000 -1383.38 5.22622 -20.0416
184000 -1383.46 4.66323 -21.7843
186000 -1383.41 3.94385 -23.4884
188000 -1383.25 2.95556 -25.101
190000 -1382.94 1.5764 -26.5995
192000 -1382.42 -0.127029 -27.9532
194000 -1381.7 -2.11372 -29.1969
196000 -1380.77 -4.2427 -30.2529
198000 -1379.62 -6.30094 -31.2173
200000 -1378.28 -7.97056 -32.0105
