# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -1374.22 6.27474 -36.9111
2000 -1370.65 6.36762 -37.7279
4000 -1367.22 6.10073 -35.9238
6000 -1364.16 5.22212 -31.1745
8000 -1361.74 4.09628 -24.281
10000 -1360.07 2.4845 -15.1419
12000 -1359.21 0.851125 -5.0111
14000 -1359.18 -0.770469 5.68873
16000 -1360.04 -1.97166 15.8244
18000 -1361.74 -2.60691 24.5339
20000 -1364.19 -2.69496 31.5756
22000 -1367.15 -1.91591 35.9788
24000 -1370.42 -0.825717 38.2758
26000 -1373.75 0.619216 38.234
28000 -1376.86 2.11945 36.2491
30000 -1379.6 3.34289 32.7798
32000 -1381.84 4.46376 27.8227
34000 -1383.58 5.03523 22.0671
36000 -1384.8 5.39659 15.3428
38000 -1385.48 5.40415 8.09821
40000 -1385.61 5.39049 0.309668
42000 -1385.11 5.40568 -7.81739
44000 -1383.89 5.54644 -15.7912
46000 -1381.92 5.91642 -23.4028
48000 -1379.32 6.22345 -29.767
50000 -1376.19 6.57953 -34.578
52000 -1372.77 6.65229 -37.0662
54000 -1369.27 6.37503 -36.9635
56000 -1366.01 5.72881 -34.137
58000 -1363.16 4.49416 -28.4467
60000 -1360.96 3.03972 -20.6764
62000 -1359.52 1.37631 -11.1705
64000 -1358.98 -0.196636 -0.95949
66000 -1359.31 -1.40224 9.16465
68000 -1360.49 -2.06029 18.3805
70000 -1362.45 -2.06245 25.9907
72000 -1364.98 -1.48136 31.7383
74000 -1367.88 -0.359173 35.2763
76000 -1370.95 1.09869 36.8327
78000 -1373.94 2.56919 36.4099
80000 -1376.75 3.92496 34.4324
82000 -1379.19 4.91987 31.1257
84000 -1381.27 5.58043 26.5987
86000 -1382.94 5.81491 21.1144
88000 -1384.12 5.89141 14.658
90000 -1384.76 5.81315 7.3366
92000 -1384.78 5.77812 -0.635292
94000 -1384.09 5.87214 -8.97104
96000 -1382.66 6.10155 -17.1511
98000 -1380.52 6.42411 -24.7582
100000 -1377.82 6.67553 -30.9038
102000 -1374.62 6.73926 -35.126
104000 -1371.24 6.42931 -36.8319
106000 -1367.91 5.69764 -35.7593
108000 -1364.83 4.47739 -31.8798
110000 -1362.26 2.92474 -25.4593
112000 -1360.37 1.24578 -17.2252
114000 -1359.29 -0.36509 -7.74673
116000 -1359.05 -1.62905 1.98806
118000 -1359.69 -2.35203 11.2937
120000 -1361.09 -2.35518 19.3964
122000 -1363.12 -1.76646 25.9433
124000 -1365.6 -0.619916 30.7113
126000 -1368.31 0.903266 33.5349
128000 -1371.11 2.47085 34.7594
130000 -1373.81 3.88665 34.3994
132000 -1376.36 5.00434 32.7201
134000 -1378.65 5.72656 29.7695
136000 -1380.63 6.11531 25.6349
138000 -1382.23 6.13337 20.3418
140000 -1383.35 6.07649 13.9038
142000 -1383.91 5.99651 6.43924
144000 -1383.8 5.99733 -1.81
146000 -1382.95 6.08539 -10.4265
148000 -1381.38 6.28354 -18.7666
150000 -1379.11 6.39708 -26.1717
152000 -1376.32 6.29307 -31.892
154000 -1373.17 5.93016 -35.391
156000 -1369.89 5.02007 -36.1366
158000 -1366.74 3.72613 -34.1495
160000 -1363.93 2.04511 -29.5102
162000 -1361.68 0.281144 -22.6696
164000 -1360.13 -1.39727 -14.3905
166000 -1359.39 -2.66555 -5.34128
168000 -1359.48 -3.37908 3.60874
170000 -1360.3 -3.38855 11.878
172000 -1361.77 -2.66297 18.942
174000 -1363.73 -1.3762 24.564
176000 -1366.01 0.230982 28.6844
178000 -1368.47 1.9891 31.3325
180000 -1370.99 3.60702 32.6037
182000 -1373.48 4.91021 32.549
184000 -1375.85 5.78116 31.3332
186000 -1378.03 6.19129 28.8378
188000 -1379.94 6.27956 24.9919
190000 -1381.48 6.15933 19.6921
192000 -1382.54 5.97694 13.0843
194000 -1382.99 5.79375 5.24762
196000 -1382.78 5.72313 -3.32878
198000 -1381.82 5.64458 -12.1346
200000 -1380.14 5.52116 -20.4361
