# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -1374.22 6.27474 -36.9111
2000 -1370.42 6.2091 -37.7469
4000 -1366.8 5.86745 -35.4307
6000 -1363.62 5.16927 -29.7741
8000 -1361.22 4.06947 -21.8942
10000 -1359.72 2.60837 -11.7706
12000 -1359.18 0.843845 -0.881888
14000 -1359.59 -1.08668 10.3274
16000 -1361.02 -3.02188 20.5371
18000 -1363.34 -4.87687 28.7604
20000 -1366.44 -6.48146 34.7193
22000 -1369.99 -7.70319 37.1471
24000 -1373.71 -8.48669 36.5443
26000 -1377.23 -8.88932 32.5671
28000 -1380.16 -9.01942 25.8033
30000 -1382.25 -8.88895 16.9693
32000 -1383.32 -8.66619 6.53561
34000 -1383.34 -8.40445 -4.09076
36000 -1382.33 -8.21956 -14.3712
38000 -1380.4 -8.14208 -22.9894
40000 -1377.74 -8.24501 -29.3886
42000 -1374.61 -8.4057 -33.078
44000 -1371.27 -8.56287 -33.5087
46000 -1368.02 -8.57007 -31.1452
48000 -1365.14 -8.38336 -25.8569
50000 -1362.87 -7.83879 -18.5778
52000 -1361.37 -6.9156 -9.73232
54000 -1360.82 -5.65173 -0.174312
56000 -1361.23 -4.08055 9.11413
58000 -1362.56 -2.2321 17.8516
60000 -1364.71 -0.378308 24.8688
62000 -1367.49 1.43004 30.1825
64000 -1370.68 3.0307 33.2197
66000 -1374.06 4.2653 33.8512
68000 -1377.36 5.1301 32.1239
70000 -1380.38 5.64391 28.0106
72000 -1382.89 5.79301 21.9123
74000 -1384.69 5.65924 14.0676
76000 -1385.7 5.38484 5.04314
78000 -1385.78 5.08373 -4.59925
80000 -1384.88 4.92216 -14.1382
82000 -1383.05 4.84794 -22.9079
84000 -1380.41 4.89024 -30.196
86000 -1377.15 5.08744 -35.1208
88000 -1373.56 5.31451 -37.518
90000 -1369.88 5.4943 -36.9628
92000 -1366.39 5.56592 -33.466
94000 -1363.39 5.35254 -27.3632
96000 -1361.08 4.7719 -18.8944
98000 -1359.7 3.87263 -8.9526
100000 -1359.35 2.63391 1.72185
102000 -1360.05 1.2374 12.1341
104000 -1361.75 -0.335775 21.4453
106000 -1364.25 -1.88713 28.7806
108000 -1367.35 -3.26875 33.4011
110000 -1370.79 -4.31965 35.0015
112000 -1374.19 -5.05821 33.3406
114000 -1377.24 -5.37294 28.5671
116000 -1379.69 -5.37143 21.1091
118000 -1381.3 -5.14793 11.541
120000 -1381.88 -4.75311 1.01496
122000 -1381.43 -4.29441 -9.71058
124000 -1379.95 -3.96887 -19.4088
126000 -1377.61 -3.74482 -27.2379
128000 -1374.6 -3.70556 -32.3909
130000 -1371.25 -3.87936 -34.3765
132000 -1367.86 -4.1291 -33.0868
134000 -1364.73 -4.42733 -28.5873
136000 -1362.19 -4.60025 -21.5222
138000 -1360.48 -4.56797 -12.4438
140000 -1359.73 -4.29589 -2.33627
142000 -1360 -3.74104 8.02223
144000 -1361.26 -2.78425 17.6583
146000 -1363.4 -1.68879 25.77
148000 -1366.25 -0.347146 31.9769
150000 -1369.61 0.980131 35.6225
152000 -1373.26 2.22741 36.7044
154000 -1376.89 3.21199 35.2061
156000 -1380.24 3.88909 31.2248
158000 -1383.1 4.25541 25.1642
160000 -1385.26 4.28878 17.3862
162000 -1386.54 4.05563 8.35972
164000 -1386.9 3.67706 -1.23312
166000 -1386.31 3.24523 -10.8201
168000 -1384.79 2.93656 -19.6748
170000 -1382.47 2.77964 -27.1545
172000 -1379.51 2.82907 -32.7112
174000 -1376.12 3.11182 -35.9969
176000 -1372.51 3.55403 -36.6193
178000 -1368.96 4.13751 -34.5649
180000 -1365.74 4.66025 -29.9268
182000 -1363.11 5.07935 -22.9548
184000 -1361.25 5.28303 -14.3668
186000 -1360.33 5.21399 -4.63642
188000 -1360.41 4.84429 5.34466
190000 -1361.46 4.15864 14.7835
192000 -1363.36 3.33045 22.8459
194000 -1365.98 2.35366 28.8542
196000 -1369.06 1.45489 32.2739
198000 -1372.29 0.717716 32.5776
200000 -1375.41 0.166602 29.8673
