# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -1374.22 6.27474 -36.9111
2000 -1370.73 6.38518 -37.7287
4000 -1367.38 6.13607 -36.0667
6000 -1364.37 5.28388 -31.5961
8000 -1361.96 4.20174 -25.0561
10000 -1360.25 2.6392 -16.3322
12000 -1359.29 1.05685 -6.59519
14000 -1359.1 -0.527815 3.75777
16000 -1359.76 -1.69941 13.6697
18000 -1361.21 -2.31324 22.3245
20000 -1363.39 -2.39563 29.4864
22000 -1366.1 -1.60071 34.2293
24000 -1369.12 -0.514752 37.0419
26000 -1372.25 0.934899 37.7135
28000 -1375.22 2.4504 36.5913
30000 -1377.88 3.67549 34.0786
32000 -1380.15 4.81512 30.1601
34000 -1382.01 5.39211 25.4359
36000 -1383.44 5.7664 19.713
38000 -1384.42 5.79389 13.3282
40000 -1384.94 5.76587 6.19946
42000 -1384.89 5.7393 -1.5575
44000 -1384.16 5.81435 -9.52958
46000 -1382.71 6.13715 -17.5377
48000 -1380.59 6.38682 -24.7253
50000 -1377.89 6.68769 -30.785
52000 -1374.79 6.69792 -34.9039
54000 -1371.48 6.37731 -36.7189
56000 -1368.23 5.70706 -35.9874
58000 -1365.22 4.43432 -32.4336
60000 -1362.67 2.92255 -26.6542
62000 -1360.71 1.1618 -18.9149
64000 -1359.53 -0.500869 -10.0318
66000 -1359.1 -1.83854 -0.757962
68000 -1359.48 -2.61199 8.18656
70000 -1360.6 -2.69205 16.1243
72000 -1362.34 -2.16611 22.7645
74000 -1364.51 -1.0229 27.7084
76000 -1366.96 0.526843 31.1306
78000 -1369.49 2.13113 32.9499
80000 -1372.01 3.67864 33.5205
82000 -1374.37 4.88749 32.8807
84000 -1376.6 5.75355 31.1036
86000 -1378.65 6.14564 28.2879
88000 -1380.41 6.26651 24.2622
90000 -1381.83 6.17375 18.9945
92000 -1382.79 6.0084 12.473
94000 -1383.17 5.8576 4.90131
96000 -1382.88 5.74037 -3.34092
98000 -1381.89 5.6956 -11.8953
100000 -1380.27 5.56918 -19.9325
102000 -1378 5.22525 -26.8964
104000 -1375.33 4.54433 -32.0523
106000 -1372.41 3.46048 -34.9322
108000 -1369.46 1.92596 -35.2904
110000 -1366.66 0.103013 -33.0949
112000 -1364.21 -1.77567 -28.7215
114000 -1362.28 -3.53767 -22.5886
116000 -1360.96 -4.85795 -15.3628
118000 -1360.31 -5.56613 -7.64397
120000 -1360.32 -5.38693 -0.093441
122000 -1360.91 -4.55829 6.90573
124000 -1361.97 -3.0045 13.0747
126000 -1363.36 -1.03139 18.2372
128000 -1365.01 1.09684 22.5929
130000 -1366.82 3.07176 25.9922
132000 -1368.8 4.66185 28.592
134000 -1370.85 5.70926 30.26
136000 -1372.98 6.24401 30.8368
138000 -1375.08 6.18775 30.1146
140000 -1377.08 5.73667 27.8205
142000 -1378.87 5.08533 23.869
144000 -1380.29 4.31995 18.1772
146000 -1381.24 3.51609 10.9317
148000 -1381.6 2.77556 2.66564
150000 -1381.29 1.97554 -6.15832
152000 -1380.37 1.01927 -14.7352
154000 -1378.85 -0.0308357 -22.3973
156000 -1376.84 -1.43388 -28.4206
158000 -1374.52 -2.97723 -32.4335
160000 -1372.05 -4.67855 -34.1844
162000 -1369.63 -6.299 -33.6146
164000 -1367.4 -7.60619 -31.1027
166000 -1365.51 -8.38563 -26.9887
168000 -1364.06 -8.41518 -21.8608
170000 -1363.01 -7.66211 -16.0257
172000 -1362.37 -6.11422 -10.0562
174000 -1362.11 -3.95199 -4.04133
176000 -1362.18 -1.45357 1.90163
178000 -1362.54 1.09556 7.6788
180000 -1363.23 3.31882 13.2403
182000 -1364.26 4.92816 18.4972
184000 -1365.65 5.78575 23.3539
186000 -1367.36 5.83544 27.423
188000 -1369.41 5.21409 30.2967
190000 -1371.66 3.9858 31.673
192000 -1374 2.47021 31.0509
194000 -1376.3 0.814597 28.3086
196000 -1378.37 -0.72318 23.4869
198000 -1380.06 -2.20909 16.7619
200000 -1381.26 -3.42925 8.67876
