# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -1374.22 6.27474 -36.9111
2000 -1370.86 6.1416 -37.8315
4000 -1367.62 5.86777 -36.1528
6000 -1364.71 5.52178 -31.7318
8000 -1362.39 4.89192 -25.4884
10000 -1360.72 4.23058 -17.278
12000 -1359.74 3.37215 -8.21388
14000 -1359.47 2.52509 1.49528
16000 -1360.03 1.7041 10.8619
18000 -1361.35 0.89846 19.1363
20000 -1363.43 0.25158 26.1715
22000 -1366.08 -0.310957 30.7706
24000 -1369.14 -0.516284 33.2243
26000 -1372.35 -0.510119 32.9903
28000 -1375.35 -0.294335 30.1663
30000 -1377.94 0.227993 25.1182
32000 -1379.88 0.825169 17.7635
34000 -1381.07 1.68564 9.13518
36000 -1381.49 2.61864 -0.580319
38000 -1381.09 3.57288 -10.2639
40000 -1379.91 4.48086 -19.3384
42000 -1377.99 5.21451 -27.149
44000 -1375.45 5.70293 -32.7263
46000 -1372.43 5.90768 -36.0261
48000 -1369.22 5.84208 -36.3803
50000 -1366.1 5.3946 -34.0055
52000 -1363.26 4.65538 -28.9412
54000 -1361.03 3.52769 -21.62
56000 -1359.56 2.12425 -12.8
58000 -1358.91 0.580451 -2.76766
60000 -1359.16 -1.16164 7.17067
62000 -1360.26 -2.86993 16.8524
64000 -1362.08 -4.5402 25.1722
66000 -1364.5 -6.03895 31.7342
68000 -1367.38 -7.23306 36.0853
70000 -1370.52 -8.14187 37.737
72000 -1373.72 -8.63992 36.8249
74000 -1376.72 -8.83409 33.2303
76000 -1379.29 -8.62179 27.2875
78000 -1381.18 -8.20851 19.4363
80000 -1382.25 -7.57671 10.1563
82000 -1382.45 -6.72459 0.281291
84000 -1381.75 -5.75923 -9.63402
86000 -1380.23 -4.76878 -18.647
88000 -1378 -3.84192 -26.1908
90000 -1375.2 -3.00169 -31.5258
92000 -1372.05 -2.29428 -34.3159
94000 -1368.79 -1.77219 -34.3618
96000 -1365.66 -1.36536 -31.4392
98000 -1362.94 -1.19016 -26.0105
100000 -1360.8 -1.10704 -18.3846
102000 -1359.45 -1.21674 -9.17316
104000 -1359 -1.42859 0.844945
106000 -1359.49 -1.71248 10.9586
108000 -1360.9 -2.14271 20.3355
110000 -1363.12 -2.62604 28.5152
112000 -1365.95 -3.10959 34.5695
114000 -1369.24 -3.67137 38.5159
116000 -1372.75 -4.22036 39.8465
118000 -1376.22 -4.7265 38.4612
120000 -1379.47 -5.25584 34.6611
122000 -1382.23 -5.82667 28.5747
124000 -1384.32 -6.32449 20.7325
126000 -1385.6 -6.89993 11.6197
128000 -1385.97 -7.47332 1.87584
130000 -1385.4 -8.00266 -7.80028
132000 -1383.97 -8.50763 -16.7356
134000 -1381.74 -8.93565 -24.207
136000 -1378.88 -9.29176 -29.7828
138000 -1375.63 -9.4715 -32.9048
140000 -1372.2 -9.48479 -33.4431
142000 -1368.84 -9.26067 -31.3313
144000 -1365.82 -8.80035 -26.7698
146000 -1363.32 -8.07104 -20.094
148000 -1361.55 -7.08343 -11.776
150000 -1360.62 -5.92466 -2.6323
152000 -1360.62 -4.60209 6.88018
154000 -1361.56 -3.11834 15.9497
156000 -1363.33 -1.68249 23.9471
158000 -1365.86 -0.308067 30.339
160000 -1368.9 0.889589 34.6523
162000 -1372.3 1.87088 36.758
164000 -1375.78 2.5181 36.3513
166000 -1379.14 2.90361 33.6069
168000 -1382.14 2.94719 28.6641
170000 -1384.59 2.61678 21.8785
172000 -1386.33 2.05099 13.6973
174000 -1387.25 1.25776 4.61981
176000 -1387.3 0.310648 -4.66233
178000 -1386.46 -0.747 -13.5692
180000 -1384.79 -1.81764 -21.4726
182000 -1382.4 -2.79011 -27.807
184000 -1379.47 -3.60597 -32.166
186000 -1376.2 -4.19464 -34.2179
188000 -1372.85 -4.48824 -33.86
190000 -1369.65 -4.52883 -31.1332
192000 -1366.82 -4.1827 -26.2019
194000 -1364.55 -3.58744 -19.5537
196000 -1363 -2.70282 -11.5888
198000 -1362.24 -1.62307 -2.85744
200000 -1362.34 -0.392668 5.95463
