# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -875.686 0.00435696 -30.1799
2000 -874.274 0.094731 -29.9412
4000 -872.954 0.400488 -29.2089
6000 -871.755 0.993968 -27.9288
8000 -870.73 1.43283 -26.3044
10000 -869.84 2.02788 -24.1663
12000 -869.036 2.28624 -21.7326
14000 -868.303 2.49473 -18.902
16000 -867.682 2.4368 -15.7675
18000 -867.175 2.0817 -12.4683
20000 -866.817 1.66454 -8.91464
22000 -866.605 0.984022 -5.35836
24000 -866.541 0.500768 -1.63178
26000 -866.624 0.0367844 1.98167
28000 -866.834 -0.112154 5.58446
30000 -867.163 0.0421009 9.06058
32000 -867.662 0.294578 12.2799
34000 -868.307 0.848096 15.2607
36000 -869.109 1.32556 17.9292
38000 -870.105 1.87865 20.2518
40000 -871.239 2.26976 22.2492
42000 -872.501 2.37323 23.7824
44000 -873.838 2.31109 24.9242
46000 -875.213 1.93494 25.5715
48000 -876.529 1.45484 25.7871
50000 -877.786 0.866569 25.5
52000 -878.954 0.300239 24.7636
54000 -880.026 -0.0838663 23.6106
56000 -881.027 -0.306408 21.9865
58000 -881.953 -0.243587 19.9928
60000 -882.805 -0.0120325 17.5869
62000 -883.588 0.46354 14.935
64000 -884.27 0.993329 11.9282
66000 -884.844 1.50262 8.68621
68000 -885.31 1.88696 5.27154
70000 -885.622 2.02713 1.74955
72000 -885.785 1.96802 -1.81642
74000 -885.77 1.61594 -5.42297
76000 -885.574 1.10888 -8.96615
78000 -885.171 0.533491 -12.3422
80000 -884.563 -0.0516659 -15.5929
82000 -883.769 -0.467827 -18.5478
84000 -882.818 -0.697214 -21.2328
86000 -881.744 -0.661023 -23.5638
88000 -880.594 -0.370589 -25.4726
90000 -879.411 0.0727335 -26.9618
92000 -878.188 0.607528 -28.0022
94000 -876.991 1.10639 -28.5761
96000 -875.797 1.46147 -28.628
98000 -874.64 1.61498 -28.2398
100000 -873.528 1.55359 -27.3278
102000 -872.449 1.22886 -25.9256
104000 -871.41 0.7004 -24.1063
106000 -870.429 0.14986 -21.8513
108000 -869.467 -0.497001 -19.2636
110000 -868.587 -0.903449 -16.3065
112000 -867.852 -1.13592 -13.0887
114000 -867.203 -1.07652 -9.6469
116000 -866.779 -0.841411 -6.04622
118000 -866.537 -0.427134 -2.39088
120000 -866.505 0.148659 1.36171
122000 -866.687 0.622687 5.00814
124000 -867.059 1.02431 8.62698
126000 -867.626 1.19962 12.0597
128000 -868.34 1.1245 15.2988
130000 -869.182 0.803393 18.215
132000 -870.117 0.298223 20.8416
134000 -871.126 -0.291081 23.124
136000 -872.157 -0.892538 25.035
138000 -873.237 -1.33073 26.5186
140000 -874.326 -1.60121 27.5147
142000 -875.436 -1.56351 28.1247
144000 -876.587 -1.36618 28.228
146000 -877.729 -0.929273 27.8368
148000 -878.929 -0.386139 27.061
150000 -880.108 0.0924139 25.7664
152000 -881.267 0.495605 24.0756
154000 -882.381 0.673516 22.0016
156000 -883.371 0.633121 19.5638
158000 -884.238 0.340244 16.7998
160000 -884.941 -0.143239 13.7454
162000 -885.432 -0.749704 10.5016
164000 -885.731 -1.29796 7.05488
166000 -885.834 -1.75645 3.47691
168000 -885.731 -2.01078 -0.0691535
170000 -885.477 -2.00134 -3.68634
172000 -885.07 -1.76143 -7.20279
174000 -884.543 -1.33399 -10.5511
176000 -883.893 -0.793847 -13.763
178000 -883.161 -0.280342 -16.6483
180000 -882.334 0.127046 -19.2684
182000 -881.423 0.343161 -21.5217
184000 -880.446 0.292233 -23.338
186000 -879.367 0.0229165 -24.7417
188000 -878.213 -0.472271 -25.7243
190000 -876.982 -1.07618 -26.1596
192000 -875.681 -1.61311 -26.1403
194000 -874.347 -2.05304 -25.6099
196000 -873.023 -2.32024 -24.6
198000 -871.717 -2.31477 -23.1561
200000 -870.518 -2.08325 -21.2319
