# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -875.686 0.00435696 -30.1799
2000 -872.918 -0.0460243 -29.0878
4000 -870.402 -0.155384 -25.917
6000 -868.292 -0.258908 -20.7052
8000 -866.777 -0.47081 -14.3181
10000 -865.888 -0.616961 -6.69131
12000 -865.661 -0.793706 1.13848
14000 -866.057 -0.881759 9.01712
16000 -867.121 -0.894715 16.2057
18000 -868.754 -0.902287 22.1205
20000 -870.916 -0.750893 26.6681
22000 -873.419 -0.591657 29.0551
24000 -876.142 -0.246526 29.6241
26000 -878.843 0.100448 28.0199
28000 -881.284 0.477659 24.4979
30000 -883.334 0.914264 19.3478
32000 -884.783 1.25107 12.7217
34000 -885.607 1.60987 5.31015
36000 -885.761 1.80911 -2.62788
38000 -885.252 2.00057 -10.2652
40000 -884.113 2.00763 -17.3016
42000 -882.393 1.85712 -23.0967
44000 -880.199 1.58467 -27.1215
46000 -877.674 1.18169 -29.3987
48000 -875.007 0.712798 -29.4247
50000 -872.388 0.144184 -27.3601
52000 -870.032 -0.430205 -23.3231
54000 -868.119 -1.02459 -17.6401
56000 -866.773 -1.57875 -10.7883
58000 -866.098 -1.98758 -3.13823
60000 -866.111 -2.30768 4.53241
62000 -866.787 -2.51543 11.9807
64000 -868.066 -2.52032 18.3779
66000 -869.852 -2.40855 23.5648
68000 -872.044 -2.08908 27.0437
70000 -874.492 -1.69872 28.6101
72000 -877.04 -1.15228 28.2243
74000 -879.503 -0.535333 25.8514
76000 -881.701 0.105618 21.7564
78000 -883.459 0.679988 16.1296
80000 -884.647 1.251 9.40784
82000 -885.209 1.68674 2.07625
84000 -885.108 2.01387 -5.49771
86000 -884.367 2.24906 -12.6273
88000 -883.027 2.26319 -18.904
90000 -881.184 2.21168 -23.7895
92000 -878.963 1.94592 -27.0125
94000 -876.514 1.59492 -28.3369
96000 -874.02 1.1686 -27.6058
98000 -871.646 0.69891 -24.9127
100000 -869.583 0.211538 -20.4856
102000 -867.948 -0.258211 -14.6111
104000 -866.903 -0.649984 -7.75738
106000 -866.497 -0.969041 -0.484119
108000 -866.748 -1.19964 6.82015
110000 -867.648 -1.28925 13.5107
112000 -869.085 -1.34383 19.2188
114000 -870.994 -1.26945 23.6352
116000 -873.201 -1.09316 26.254
118000 -875.604 -0.902249 27.1828
120000 -878.014 -0.639833 26.201
122000 -880.258 -0.403351 23.4682
124000 -882.223 -0.190879 19.1662
126000 -883.708 0.000587502 13.5559
128000 -884.651 0.107763 7.01357
130000 -884.982 0.180414 -0.0026365
132000 -884.652 0.178396 -7.03609
134000 -883.714 0.156252 -13.587
136000 -882.224 0.0627005 -19.1811
138000 -880.276 -0.0689956 -23.3931
140000 -878.03 -0.174223 -26.0456
142000 -875.613 -0.270711 -26.8023
144000 -873.198 -0.322892 -25.7078
146000 -870.965 -0.291601 -22.7886
148000 -869.076 -0.246734 -18.3184
150000 -867.642 -0.107837 -12.5696
152000 -866.793 0.117689 -5.99138
154000 -866.588 0.344551 0.932178
156000 -866.995 0.634371 7.704
158000 -868.016 0.880652 13.8803
160000 -869.552 1.17149 19.0746
162000 -871.519 1.39966 22.9291
164000 -873.767 1.48736 25.1826
166000 -876.161 1.52546 25.7862
168000 -878.534 1.46974 24.6497
170000 -880.736 1.2609 21.8591
172000 -882.576 0.946423 17.6068
174000 -883.976 0.592197 12.1901
176000 -884.809 0.0863757 5.88118
178000 -885.026 -0.426851 -0.800537
180000 -884.62 -0.920097 -7.47438
182000 -883.604 -1.39815 -13.6606
184000 -882.06 -1.82183 -18.8925
186000 -880.07 -2.12761 -22.8362
188000 -877.789 -2.32478 -25.2438
190000 -875.368 -2.37956 -25.8441
192000 -872.962 -2.26153 -24.6454
194000 -870.746 -1.9647 -21.7464
196000 -868.881 -1.58404 -17.3145
198000 -867.494 -1.08163 -11.7269
200000 -866.676 -0.468642 -5.38213
