# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -875.686 0.00435696 -30.1799
2000 -872.688 -0.104447 -28.8158
4000 -870.011 -0.409359 -24.8975
6000 -867.867 -0.841928 -18.5762
8000 -866.48 -1.34627 -11.0001
10000 -865.901 -1.83531 -2.27082
12000 -866.126 -2.21509 6.24155
14000 -867.092 -2.43577 14.2874
16000 -868.761 -2.44808 20.9095
18000 -870.968 -2.3057 25.5514
20000 -873.602 -1.91529 28.1357
22000 -876.368 -1.42813 28.0471
24000 -879.101 -0.855884 25.8618
26000 -881.506 -0.314869 21.4756
28000 -883.372 0.0704337 15.5126
30000 -884.567 0.292173 8.44477
32000 -884.997 0.312858 0.765477
34000 -884.669 0.169672 -6.7849
36000 -883.625 -0.159513 -13.8341
38000 -881.95 -0.576167 -19.4928
40000 -879.799 -1.03634 -23.6195
42000 -877.338 -1.42547 -25.8703
44000 -874.766 -1.70816 -25.9337
46000 -872.271 -1.7957 -24.1043
48000 -870.042 -1.65731 -20.3319
50000 -868.25 -1.32586 -15.1031
52000 -867.025 -0.849057 -8.71748
54000 -866.483 -0.278337 -1.70641
56000 -866.673 0.306938 5.34114
58000 -867.554 0.822188 12.0546
60000 -869.065 1.14687 17.714
62000 -871.078 1.31748 22.2321
64000 -873.448 1.24097 25.049
66000 -875.999 0.988792 26.0242
68000 -878.534 0.641689 24.991
70000 -880.867 0.199226 21.9758
72000 -882.821 -0.23395 17.1933
74000 -884.203 -0.577442 10.8613
76000 -884.939 -0.759297 3.5254
78000 -884.901 -0.720893 -4.39363
80000 -884.071 -0.473767 -12.1611
82000 -882.505 -0.0825971 -19.0666
84000 -880.32 0.43611 -24.5435
86000 -877.697 0.990169 -27.9715
88000 -874.87 1.50265 -29.002
90000 -872.07 1.93286 -27.5221
92000 -869.572 2.17709 -23.5761
94000 -867.549 2.17853 -17.5208
96000 -866.211 1.99263 -9.8262
98000 -865.686 1.61864 -1.30612
100000 -865.992 1.20785 7.52121
102000 -867.136 0.704605 15.6056
104000 -869.021 0.301523 22.2941
106000 -871.495 -0.0101706 27.1155
108000 -874.317 -0.132429 29.5166
110000 -877.264 -0.0268969 29.3598
112000 -880.068 0.295454 26.6412
114000 -882.481 0.731713 21.6857
116000 -884.305 1.26234 14.8409
118000 -885.391 1.74852 6.76559
120000 -885.655 2.17305 -1.8405
122000 -885.062 2.45639 -10.2196
124000 -883.697 2.54104 -17.614
126000 -881.671 2.43025 -23.4467
128000 -879.183 2.06109 -27.1195
130000 -876.442 1.60461 -28.4391
132000 -873.694 1.10397 -27.3164
134000 -871.164 0.611645 -23.8768
136000 -869.054 0.179517 -18.5707
138000 -867.529 -0.052024 -11.8518
140000 -866.707 -0.11931 -4.36238
142000 -866.642 0.0363776 3.30667
144000 -867.328 0.376691 10.5049
146000 -868.693 0.793991 16.6303
148000 -870.607 1.28526 21.4385
150000 -872.915 1.73236 24.425
152000 -875.441 2.01052 25.5781
154000 -877.963 2.14964 24.8389
156000 -880.316 2.04775 22.2216
158000 -882.334 1.73356 18.0037
160000 -883.871 1.32 12.4349
162000 -884.794 0.747262 5.94659
164000 -885.048 0.175142 -1.16071
166000 -884.586 -0.316134 -8.19625
168000 -883.437 -0.698329 -14.7392
170000 -881.673 -0.908688 -20.2591
172000 -879.451 -0.863154 -24.2494
174000 -876.935 -0.666002 -26.3703
176000 -874.293 -0.27968 -26.3841
178000 -871.775 0.138374 -24.2791
180000 -869.562 0.548592 -20.1534
182000 -867.852 0.928426 -14.2344
184000 -866.798 1.10937 -7.07779
186000 -866.479 1.12274 0.831404
188000 -866.979 0.889269 8.72796
190000 -868.218 0.500652 16.1006
192000 -870.136 -0.0221694 22.1915
194000 -872.563 -0.596784 26.5319
196000 -875.311 -1.14098 28.6921
198000 -878.144 -1.57691 28.4636
200000 -880.826 -1.84767 25.7924
