# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -875.686 0.00435696 -30.1799
2000 -873.634 0.055353 -29.6407
4000 -871.719 0.242366 -28.0271
6000 -870.002 0.65289 -25.2885
8000 -868.583 0.951637 -21.8349
10000 -867.456 1.41989 -17.465
12000 -866.617 1.68849 -12.6324
14000 -866.056 1.97412 -7.29724
16000 -865.853 2.09915 -1.7355
18000 -865.997 1.97388 3.74237
20000 -866.518 1.75705 9.1704
22000 -867.393 1.22809 14.0232
24000 -868.591 0.727451 18.483
26000 -870.038 0.0820006 22.1196
28000 -871.648 -0.479219 24.9421
30000 -873.342 -0.913633 26.9129
32000 -875.07 -1.31772 27.7599
34000 -876.766 -1.49519 27.7042
36000 -878.423 -1.60722 26.604
38000 -879.996 -1.45714 24.5685
40000 -881.451 -1.16016 21.6591
42000 -882.727 -0.857363 17.9159
44000 -883.767 -0.433569 13.5737
46000 -884.517 -0.16501 8.65329
48000 -884.921 0.0914626 3.5661
50000 -884.974 0.163954 -1.71649
52000 -884.661 0.114135 -6.85877
54000 -884.02 -0.119626 -11.6953
56000 -883.053 -0.528802 -16.1355
58000 -881.819 -0.947923 -19.7904
60000 -880.33 -1.48678 -22.7431
62000 -878.645 -1.90024 -24.7626
64000 -876.807 -2.24697 -25.731
66000 -874.901 -2.43932 -25.6832
68000 -873.021 -2.41926 -24.6264
70000 -871.25 -2.2739 -22.5156
72000 -869.695 -1.89724 -19.501
74000 -868.398 -1.43767 -15.7168
76000 -867.432 -0.866416 -11.3112
78000 -866.803 -0.280029 -6.47309
80000 -866.547 0.203586 -1.36103
82000 -866.653 0.629732 3.83452
84000 -867.136 0.914803 8.85108
86000 -867.934 0.976116 13.5659
88000 -869.034 0.912226 17.7646
90000 -870.414 0.666904 21.2983
92000 -871.961 0.375515 24.0433
94000 -873.656 0.0109561 25.8861
96000 -875.408 -0.279447 26.7396
98000 -877.157 -0.542389 26.5862
100000 -878.835 -0.600424 25.4643
102000 -880.426 -0.524085 23.3692
104000 -881.856 -0.303481 20.3732
106000 -883.096 0.142423 16.6362
108000 -884.096 0.587328 12.1678
110000 -884.802 1.13858 7.21233
112000 -885.219 1.65584 1.88951
114000 -885.285 2.09368 -3.57301
116000 -885.03 2.40553 -8.94334
118000 -884.434 2.53053 -14.0918
120000 -883.52 2.47874 -18.7313
122000 -882.314 2.2466 -22.8039
124000 -880.843 1.82946 -26.0429
126000 -879.162 1.35047 -28.3582
128000 -877.323 0.842758 -29.6387
130000 -875.372 0.353571 -29.8571
132000 -873.421 -0.0127153 -28.9939
134000 -871.522 -0.292913 -27.0525
136000 -869.76 -0.377076 -24.1712
138000 -868.253 -0.337832 -20.3577
140000 -867.036 -0.125334 -15.8151
142000 -866.169 0.18561 -10.7426
144000 -865.673 0.540611 -5.31169
146000 -865.564 0.839478 0.26217
148000 -865.828 1.09867 5.82634
150000 -866.459 1.20035 11.1264
152000 -867.439 1.13988 16.009
154000 -868.721 0.906209 20.2762
156000 -870.252 0.507514 23.7953
158000 -871.961 -0.000962941 26.4437
160000 -873.785 -0.591437 28.1826
162000 -875.635 -1.13889 28.8241
164000 -877.446 -1.67577 28.5299
166000 -879.158 -2.0155 27.1252
168000 -880.717 -2.26677 24.8718
170000 -882.083 -2.3435 21.7113
172000 -883.23 -2.22075 17.7791
174000 -884.118 -1.86777 13.2008
176000 -884.724 -1.52983 8.21835
178000 -885.013 -1.02303 2.89573
180000 -884.982 -0.621376 -2.43401
182000 -884.598 -0.243724 -7.64558
184000 -883.896 -0.0150678 -12.5694
186000 -882.901 0.044213 -16.93
188000 -881.629 -0.0148294 -20.6281
190000 -880.143 -0.257358 -23.4951
192000 -878.521 -0.589618 -25.3744
194000 -876.735 -0.988118 -26.2751
196000 -874.92 -1.34827 -26.1523
198000 -873.1 -1.66697 -24.8996
200000 -871.361 -1.81772 -22.7685
