# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -220.909 -0.652959 -12.7492
50 -220.478 -1.03999 -13.2343
100 -220.117 -1.3514 -13.5601
150 -219.643 -1.65786 -13.8263
200 -219.155 -1.92099 -13.9802
250 -218.67 -2.12573 -14.0143
300 -218.176 -2.26634 -13.9289
350 -217.679 -2.34041 -13.7241
400 -217.19 -2.34408 -13.3986
450 -216.712 -2.27484 -12.9512
500 -216.254 -2.13284 -12.3843
550 -215.821 -1.91777 -11.7001
600 -215.42 -1.63337 -10.9012
650 -215.055 -1.28036 -9.9929
700 -214.735 -0.864659 -8.98051
750 -214.463 -0.391565 -7.87217
800 -214.245 0.132863 -6.67534
850 -214.085 0.703007 -5.39974
900 -213.987 1.31031 -4.05752
950 -213.954 1.94486 -2.66062
1000 -213.988 2.59992 -1.22284
1050 -214.091 3.26651 0.241621
1100 -214.264 3.93275 1.71669
1150 -214.507 4.59024 3.18514
1200 -214.818 5.22863 4.63156
1250 -215.196 5.8381 6.0383
1300 -215.638 6.40835 7.38826
1350 -216.141 6.93108 8.66394
1400 -216.7 7.394 9.85143
1450 -217.309 7.79018 10.9339
1500 -217.963 8.11122 11.8992
1550 -218.654 8.34936 12.7342
1600 -219.376 8.4984 13.4297
1650 -220.119 8.55366 13.9784
1700 -220.878 8.51069 14.3724
1750 -221.641 8.36809 14.6109
1800 -222.401 8.12528 14.6922
1850 -223.151 7.7817 14.6168
1900 -223.879 7.34146 14.3908
1950 -224.579 6.80893 14.0188
2000 -225.243 6.1903 13.51
2050 -225.864 5.49307 12.8739
2100 -226.435 4.72741 12.1221
2150 -226.95 3.90405 11.2688
2200 -227.405 3.03471 10.3254
2250 -227.796 2.13201 9.30884
2300 -228.119 1.21275 8.23194
2350 -228.374 0.288422 7.11033
2400 -228.557 -0.623003 5.9589
2450 -228.671 -1.50754 4.79077
2500 -228.716 -2.3516 3.61781
2550 -228.694 -3.13795 2.45437
2600 -228.607 -3.85756 1.30993
2650 -228.46 -4.49681 0.194109
2700 -228.257 -5.04289 -0.883296
2750 -228.004 -5.49431 -1.91625
2800 -227.705 -5.83628 -2.89868
2850 -227.367 -6.07068 -3.82505
2900 -226.995 -6.19275 -4.69164
2950 -226.597 -6.20291 -5.4958
3000 -226.178 -6.106 -6.23535
3050 -225.743 -5.90634 -6.90775
3100 -225.302 -5.61033 -7.51321
3150 -224.857 -5.23108 -8.05153
3200 -224.413 -4.77578 -8.52209
3250 -223.978 -4.26076 -8.92528
3300 -223.552 -3.70206 -9.26202
3350 -223.142 -3.11088 -9.53097
3400 -222.749 -2.50941 -9.73594
3450 -222.374 -1.91067 -9.87622
3500 -222.02 -1.32973 -9.95336
3550 -221.688 -0.7873 -9.96925
3600 -221.377 -0.294354 -9.92454
3650 -221.087 0.13264 -9.82252
3700 -220.815 0.482918 -9.6646
3750 -220.562 0.746069 -9.45331
3800 -220.324 0.914035 -9.19216
3850 -220.099 0.980812 -8.88249
3900 -219.884 0.945044 -8.52878
3950 -219.676 0.806747 -8.13476
4000 -219.473 0.565705 -7.70287
4050 -219.271 0.231813 -7.23797
4100 -219.068 -0.192391 -6.74149
4150 -218.861 -0.691063 -6.21827
4200 -218.648 -1.25702 -5.67099
4250 -218.428 -1.87089 -5.1019
4300 -218.199 -2.51955 -4.51387
4350 -217.961 -3.18487 -3.90774
4400 -217.714 -3.8493 -3.28618
4450 -217.459 -4.49432 -2.64931
4500 -217.197 -5.10212 -1.99761
4550 -216.932 -5.65614 -1.33146
4600 -216.665 -6.13861 -0.650449
4650 -216.401 -6.53594 0.0451603
4700 -216.144 -6.83482 0.756584
4750 -215.898 -7.02567 1.48241
4800 -215.668 -7.09877 2.22375
4850 -215.459 -7.04969 2.97936
4900 -215.277 -6.87546 3.74762
4950 -215.128 -6.57688 4.52602
5000 -215.015 -6.15595 5.31174
5050 -214.946 -5.61972 6.09867
5100 -214.923 -4.97549 6.8837
5150 -214.951 -4.23486 7.65767
5200 -215.032 -3.40996 8.41424
5250 -215.17 -2.51567 9.14377
5300 -215.366 -1.5678 9.83478
5350 -215.62 -0.582406 10.4786
5400 -215.932 0.422436 11.0622
5450 -216.3 1.43092 11.5749
5500 -216.723 2.42388 12.0046
5550 -217.196 3.38667 12.3389
5600 -217.715 4.30373 12.5687
5650 -218.275 5.1611 12.6833
5700 -218.869 5.94591 12.6729
5750 -219.492 6.64933 12.5324
5800 -220.135 7.26252 12.2549
5850 -220.789 7.77744 11.838
5900 -221.449 8.19143 11.2794
5950 -222.105 8.5024 10.581
6000 -222.749 8.70949 9.74535
6050 -223.373 8.81498 8.77852
6100 -223.969 8.82219 7.68764
6150 -224.53 8.7356 6.48335
6200 -225.049 8.56306 5.17659
6250 -225.52 8.31024 3.78058
6300 -225.937 7.98676 2.31138
6350 -226.297 7.60108 0.7832
6400 -226.594 7.16299 -0.785502
6450 -226.827 6.68122 -2.37848
6500 -226.993 6.16581 -3.979
6550 -227.091 5.62679 -5.56764
6600 -227.122 5.073 -7.12891
6650 -227.084 4.51294 -8.64556
6700 -226.98 3.95542 -10.1022
6750 -226.813 3.40786 -11.4837
6800 -226.585 2.88089 -12.777
6850 -226.3 2.3785 -13.9686
6900 -225.962 1.90552 -15.0491
6950 -225.576 1.47337 -16.0079
7000 -225.147 1.08333 -16.8359
7050 -224.682 0.741223 -17.5275
7100 -224.185 0.451987 -18.0767
7150 -223.664 0.219081 -18.4796
7200 -223.126 0.0432591 -18.7333
7250 -222.577 -0.067915 -18.8362
