# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -220.909 -0.652959 -12.7492
50 -220.25 -1.29698 -12.6954
100 -219.72 -1.82942 -12.4377
150 -219.091 -2.41829 -11.899
200 -218.496 -2.97964 -11.139
250 -217.956 -3.51071 -10.1754
300 -217.464 -4.02592 -9.00956
350 -217.028 -4.526 -7.6689
400 -216.661 -5.01132 -6.17942
450 -216.368 -5.48458 -4.56802
500 -216.154 -5.94573 -2.86398
550 -216.023 -6.3978 -1.0992
600 -215.979 -6.83931 0.695286
650 -216.02 -7.26987 2.4861
700 -216.148 -7.68629 4.23975
750 -216.359 -8.08746 5.92577
800 -216.649 -8.46839 7.51167
850 -217.012 -8.82593 8.96889
900 -217.442 -9.15356 10.2687
950 -217.93 -9.4467 11.3847
1000 -218.467 -9.69864 12.295
1050 -219.042 -9.90482 12.9795
1100 -219.645 -10.0594 13.4227
1150 -220.262 -10.1568 13.6108
1200 -220.881 -10.1922 13.5366
1250 -221.49 -10.1627 13.1983
1300 -222.075 -10.0654 12.5974
1350 -222.625 -9.89815 11.7415
1400 -223.128 -9.66151 10.6435
1450 -223.572 -9.35699 9.32287
1500 -223.947 -8.98538 7.80407
1550 -224.246 -8.54951 6.11658
1600 -224.459 -8.05613 4.29603
1650 -224.583 -7.51006 2.38151
1700 -224.613 -6.91686 0.415539
1750 -224.55 -6.28421 -1.55668
1800 -224.394 -5.62104 -3.48771
1850 -224.148 -4.93474 -5.32962
1900 -223.818 -4.23224 -7.03631
1950 -223.412 -3.52266 -8.56367
2000 -222.94 -2.81508 -9.87045
2050 -222.413 -2.11415 -10.9217
2100 -221.845 -1.42726 -11.6873
2150 -221.251 -0.762503 -12.1433
2200 -220.645 -0.121929 -12.2749
2250 -220.045 0.488823 -12.0763
2300 -219.465 1.06722 -11.5485
2350 -218.922 1.61009 -10.7026
2400 -218.432 2.11702 -9.55641
2450 -218.007 2.58752 -8.13794
2500 -217.66 3.02161 -6.48056
2550 -217.403 3.42109 -4.62647
2600 -217.242 3.7864 -2.62055
2650 -217.185 4.11993 -0.512958
2700 -217.235 4.42415 1.64474
2750 -217.394 4.70179 3.79786
2800 -217.658 4.95331 5.89379
2850 -218.025 5.18169 7.88124
2900 -218.488 5.38945 9.71095
2950 -219.038 5.57664 11.3397
3000 -219.663 5.74479 12.7277
3050 -220.351 5.89381 13.8426
3100 -221.087 6.02328 14.6577
3150 -221.857 6.13364 15.1543
3200 -222.644 6.22295 15.3218
3250 -223.431 6.2896 15.1564
3300 -224.202 6.33271 14.6617
3350 -224.941 6.34866 13.8481
3400 -225.632 6.33707 12.734
3450 -226.26 6.29485 11.3432
3500 -226.813 6.22018 9.70418
3550 -227.28 6.11054 7.85209
3600 -227.65 5.96623 5.82496
3650 -227.915 5.78562 3.66181
3700 -228.07 5.56835 1.40785
3750 -228.11 5.3141 -0.893029
3800 -228.036 5.02495 -3.19759
3850 -227.847 4.70258 -5.45999
3900 -227.547 4.34845 -7.63932
3950 -227.14 3.9676 -9.69472
4000 -226.633 3.56376 -11.5893
4050 -226.035 3.14117 -13.29
4100 -225.358 2.70461 -14.7675
4150 -224.61 2.26165 -15.9982
4200 -223.805 1.8175 -16.9635
4250 -222.958 1.37746 -17.6497
4300 -222.082 0.948663 -18.0494
4350 -221.191 0.536981 -18.1606
4400 -220.299 0.148638 -17.9869
4450 -219.421 -0.211614 -17.5357
4500 -218.569 -0.538411 -16.8213
4550 -217.758 -0.829148 -15.8609
4600 -216.997 -1.0783 -14.6769
4650 -216.299 -1.28648 -13.2923
4700 -215.672 -1.45079 -11.7355
4750 -215.125 -1.57079 -10.0354
4800 -214.665 -1.64959 -8.22244
4850 -214.295 -1.686 -6.32799
4900 -214.021 -1.68459 -4.38405
4950 -213.844 -1.64868 -2.42139
5000 -213.764 -1.58244 -0.470549
5050 -213.78 -1.49092 1.43738
5100 -213.89 -1.37864 3.27599
5150 -214.088 -1.25145 5.01676
5200 -214.371 -1.11497 6.63462
5250 -214.732 -0.974553 8.10675
5300 -215.162 -0.833968 9.41345
5350 -215.653 -0.698495 10.5332
5400 -216.195 -0.571849 11.4511
5450 -216.778 -0.456911 12.1535
5500 -217.39 -0.355675 12.6289
5550 -218.021 -0.269578 12.8706
5600 -218.658 -0.19863 12.8745
5650 -219.289 -0.141967 12.6392
5700 -219.904 -0.0997107 12.1695
5750 -220.489 -0.0690024 11.4731
5800 -221.034 -0.0485807 10.5631
5850 -221.53 -0.0325033 9.45654
5900 -221.966 -0.0195405 8.17581
5950 -222.335 -0.00612437 6.74668
6000 -222.631 0.00684654 5.20061
6050 -222.847 0.0281694 3.57221
6100 -222.983 0.0578463 1.89694
6150 -223.035 0.0964235 0.215955
6200 -223.005 0.144732 -1.42961
6250 -222.896 0.202313 -2.99885
