# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -220.909 -0.652959 -12.7492
50 -220.352 -1.20946 -12.37
100 -219.932 -1.64063 -11.8982
150 -219.45 -2.09573 -11.1873
200 -219.014 -2.48717 -10.3249
250 -218.644 -2.82214 -9.31371
300 -218.326 -3.11284 -8.14076
350 -218.066 -3.36213 -6.81986
400 -217.874 -3.57087 -5.36182
450 -217.754 -3.74462 -3.77941
500 -217.71 -3.88996 -2.09085
550 -217.745 -4.00524 -0.318968
600 -217.863 -4.09264 1.51078
650 -218.064 -4.15251 3.36819
700 -218.348 -4.18193 5.21895
750 -218.714 -4.17804 7.02728
800 -219.157 -4.13573 8.75504
850 -219.674 -4.04931 10.3619
900 -220.255 -3.91404 11.8099
950 -220.893 -3.7239 13.0635
1000 -221.577 -3.47375 14.0884
1050 -222.294 -3.16059 14.8566
1100 -223.03 -2.78355 15.3457
1150 -223.773 -2.34405 15.5384
1200 -224.507 -1.84505 15.4264
1250 -225.216 -1.29285 15.0084
1300 -225.889 -0.696112 14.2921
1350 -226.508 -0.0673731 13.2916
1400 -227.063 0.580264 12.0293
1450 -227.542 1.23118 10.5333
1500 -227.936 1.86798 8.83852
1550 -228.236 2.47468 6.98293
1600 -228.439 3.03228 5.0094
1650 -228.541 3.52365 2.95938
1700 -228.541 3.93467 0.877342
1750 -228.441 4.25556 -1.19457
1800 -228.245 4.47309 -3.21493
1850 -227.957 4.58313 -5.15023
1900 -227.585 4.58162 -6.96472
1950 -227.138 4.46978 -8.63244
2000 -226.624 4.25297 -10.1324
2050 -226.054 3.93636 -11.4444
2100 -225.438 3.53162 -12.5593
2150 -224.788 3.05051 -13.4669
2200 -224.114 2.50781 -14.1668
2250 -223.426 1.9182 -14.6569
2300 -222.735 1.29637 -14.9415
2350 -222.049 0.658954 -15.024
2400 -221.379 0.0185032 -14.9134
2450 -220.732 -0.613699 -14.6135
2500 -220.116 -1.22458 -14.1351
2550 -219.539 -1.80911 -13.4831
2600 -219.006 -2.35978 -12.666
2650 -218.526 -2.87337 -11.6907
2700 -218.102 -3.34868 -10.5651
2750 -217.742 -3.78548 -9.29789
2800 -217.451 -4.18635 -7.89795
2850 -217.233 -4.55292 -6.37639
2900 -217.092 -4.88895 -4.74697
2950 -217.034 -5.19629 -3.02554
3000 -217.059 -5.47661 -1.23117
3050 -217.172 -5.73111 0.612335
3100 -217.373 -5.9606 2.47997
3150 -217.661 -6.16009 4.34117
3200 -218.035 -6.32711 6.16389
3250 -218.493 -6.4569 7.91346
3300 -219.027 -6.54361 9.55237
3350 -219.633 -6.579 11.0457
3400 -220.301 -6.5546 12.356
3450 -221.022 -6.46617 13.4501
3500 -221.782 -6.30629 14.2967
3550 -222.57 -6.06883 14.871
3600 -223.37 -5.75121 15.1523
3650 -224.168 -5.35548 15.1271
3700 -224.947 -4.8828 14.7886
3750 -225.693 -4.33732 14.1394
