# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -220.909 -0.652959 -12.7492
50 -220.281 -1.27571 -12.5034
100 -219.793 -1.77709 -12.1013
150 -219.227 -2.32442 -11.4191
200 -218.708 -2.82963 -10.5378
250 -218.257 -3.29845 -9.46863
300 -217.866 -3.74474 -8.20625
350 -217.541 -4.17283 -6.77382
400 -217.295 -4.58565 -5.19202
450 -217.133 -4.98838 -3.48467
500 -217.06 -5.38663 -1.67909
550 -217.081 -5.77882 0.193919
600 -217.199 -6.16858 2.09956
650 -217.412 -6.55302 4.00293
700 -217.722 -6.92939 5.86333
750 -218.124 -7.29312 7.6413
800 -218.614 -7.63678 9.29805
850 -219.184 -7.95427 10.7936
900 -219.825 -8.2342 12.0898
950 -220.526 -8.46926 13.151
1000 -221.274 -8.64955 13.9472
1050 -222.056 -8.7674 14.4509
1100 -222.855 -8.8141 14.6435
1150 -223.656 -8.78309 14.5098
1200 -224.441 -8.67173 14.0442
1250 -225.194 -8.47706 13.2477
1300 -225.897 -8.19997 12.1318
1350 -226.536 -7.84536 10.7122
1400 -227.094 -7.41715 9.01604
1450 -227.559 -6.92151 7.07674
1500 -227.919 -6.37449 4.93243
1550 -228.165 -5.78376 2.63086
1600 -228.29 -5.16231 0.21927
1650 -228.29 -4.52547 -2.24677
1700 -228.163 -3.88709 -4.71334
1750 -227.912 -3.26231 -7.12635
1800 -227.539 -2.65937 -9.43175
1850 -227.053 -2.09298 -11.5805
1900 -226.461 -1.57355 -13.5259
1950 -225.776 -1.10681 -15.2286
2000 -225.01 -0.694065 -16.6551
2050 -224.179 -0.341178 -17.7796
2100 -223.297 -0.0495078 -18.5848
2150 -222.382 0.184123 -19.0608
2200 -221.45 0.367005 -19.2069
2250 -220.516 0.503543 -19.0284
2300 -219.598 0.597752 -18.541
2350 -218.709 0.658439 -17.7626
2400 -217.864 0.696706 -16.719
2450 -217.075 0.71797 -15.4404
2500 -216.353 0.724432 -13.959
2550 -215.707 0.726831 -12.3093
2600 -215.144 0.729324 -10.5267
2650 -214.669 0.729988 -8.64714
2700 -214.288 0.732443 -6.70418
2750 -214.002 0.734456 -4.73071
2800 -213.812 0.733423 -2.75745
2850 -213.717 0.725664 -0.812768
2900 -213.716 0.704917 1.0768
2950 -213.806 0.667312 2.88998
3000 -213.982 0.60673 4.60515
3050 -214.239 0.518021 6.20301
3100 -214.572 0.395433 7.66682
3150 -214.975 0.237065 8.98051
3200 -215.44 0.0409966 10.1295
3250 -215.958 -0.192739 11.1001
3300 -216.522 -0.460823 11.8805
3350 -217.122 -0.761366 12.4584
3400 -217.748 -1.08591 12.8235
3450 -218.39 -1.42729 12.9666
3500 -219.036 -1.77522 12.8817
3550 -219.677 -2.11903 12.5638
3600 -220.299 -2.44984 12.0133
3650 -220.892 -2.75208 11.2335
3700 -221.445 -3.01847 10.2326
3750 -221.946 -3.23616 9.02284
3800 -222.385 -3.39638 7.62507
3850 -222.753 -3.49436 6.06414
3900 -223.043 -3.52204 4.36861
3950 -223.248 -3.47808 2.5752
4000 -223.363 -3.36084 0.723447
4050 -223.386 -3.1735 -1.141
4100 -223.317 -2.91849 -2.97346
4150 -223.158 -2.6009 -4.72502
4200 -222.912 -2.2304 -6.34896
4250 -222.589 -1.81627 -7.79977
4300 -222.196 -1.3647 -9.03362
4350 -221.744 -0.887539 -10.015
4400 -221.247 -0.394042 -10.7114
4450 -220.718 0.10565 -11.1007
4500 -220.173 0.605184 -11.168
4550 -219.628 1.0993 -10.9063
4600 -219.097 1.57865 -10.322
4650 -218.599 2.04366 -9.42701
4700 -218.146 2.49214 -8.24524
4750 -217.752 2.92478 -6.80752
4800 -217.428 3.34072 -5.15281
4850 -217.186 3.74436 -3.32597
4900 -217.031 4.14095 -1.3763
4950 -216.968 4.53063 0.643457
5000 -217 4.9188 2.67995
5050 -217.126 5.30941 4.68009
5100 -217.343 5.70316 6.59258
5150 -217.646 6.10123 8.37124
5200 -218.028 6.50292 9.97347
5250 -218.478 6.90623 11.3636
5300 -218.986 7.30707 12.5117
5350 -219.539 7.69903 13.3978
5400 -220.125 8.07418 14.0075
5450 -220.73 8.42453 14.3342
5500 -221.34 8.73939 14.3794
5550 -221.943 9.00979 14.1501
5600 -222.526 9.2247 13.6605
5650 -223.077 9.37493 12.9294
5700 -223.586 9.45118 11.9797
5750 -224.044 9.44705 10.8369
5800 -224.442 9.35732 9.52989
5850 -224.775 9.17869 8.08845
5900 -225.038 8.91034 6.542
5950 -225.227 8.55525 4.92149
6000 -225.34 8.11678 3.25699
6050 -225.377 7.60301 1.57721
6100 -225.338 7.02322 -0.0903804
6150 -225.224 6.38785 -1.71963
6200 -225.04 5.70857 -3.28502
6250 -224.79 4.99966 -4.76415
6300 -224.477 4.27333 -6.13497
6350 -224.108 3.54316 -7.37667
6400 -223.69 2.82144 -8.47075
6450 -223.23 2.11774 -9.39948
6500 -222.736 1.4445 -10.1477
6550 -222.218 0.805099 -10.7015
6600 -221.684 0.207433 -11.0478
6650 -221.144 -0.34723 -11.179
6700 -220.608 -0.858694 -11.0867
6750 -220.088 -1.32631 -10.767
6800 -219.593 -1.75573 -10.2198
6850 -219.135 -2.1495 -9.44829
6900 -218.723 -2.51498 -8.45964
6950 -218.367 -2.85653 -7.26613
7000 -218.078 -3.18095 -5.8834
7050 -217.864 -3.49411 -4.33376
7100 -217.731 -3.79816 -2.64288
7150 -217.687 -4.10073 -0.840397
7200 -217.736 -4.39903 1.03765
7250 -217.88 -4.6941 2.95435
7300 -218.121 -4.98461 4.86692
7350 -218.457 -5.26484 6.7337
7400 -218.885 -5.53106 8.51049
7450 -219.399 -5.77475 10.1534
7500 -219.991 -5.98962 11.6188
7550 -220.652 -6.16336 12.8683
7600 -221.369 -6.29322 13.8652
