# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -551.368 -3.52609 19.0896
2000 -552.432 -3.11585 19.457
4000 -553.535 -2.635 19.1152
6000 -554.582 -1.99797 18.2934
8000 -555.632 -1.63416 16.6491
10000 -556.589 -1.16357 14.5766
12000 -557.392 -0.975304 11.9223
14000 -558.003 -0.886999 8.79536
16000 -558.419 -0.882797 5.28754
18000 -558.56 -1.06331 1.3965
20000 -558.431 -1.2391 -2.61879
22000 -558.025 -1.61094 -6.72224
24000 -557.327 -1.91503 -10.4561
26000 -556.349 -2.3883 -13.8971
28000 -555.138 -2.80698 -16.6889
30000 -553.752 -3.15714 -18.6261
32000 -552.215 -3.46643 -19.7082
34000 -550.662 -3.51118 -19.7752
36000 -549.115 -3.4351 -18.9125
38000 -547.667 -3.08736 -17.0648
40000 -546.42 -2.68303 -14.5279
42000 -545.366 -2.10909 -11.3176
44000 -544.615 -1.49391 -7.72909
46000 -544.133 -0.839805 -3.96622
48000 -543.965 -0.0458878 -0.095308
50000 -544.115 0.710855 3.65938
52000 -544.551 1.58413 7.20167
54000 -545.282 2.32535 10.3839
56000 -546.269 2.97912 13.1249
58000 -547.449 3.39739 15.3405
60000 -548.782 3.5164 16.8837
62000 -550.191 3.46696 17.7584
64000 -551.627 3.20134 17.9044
66000 -553.032 2.88102 17.3035
68000 -554.348 2.53099 16.03
70000 -555.523 2.20906 14.1798
72000 -556.521 1.81735 11.7435
74000 -557.348 1.51165 8.91053
76000 -557.921 1.23128 5.72347
78000 -558.262 0.958488 2.23406
80000 -558.37 0.885304 -1.36754
82000 -558.203 0.965942 -5.06539
84000 -557.821 1.2567 -8.7093
86000 -557.245 1.70618 -12.1351
88000 -556.48 2.29849 -15.1057
90000 -555.582 2.86936 -17.6305
92000 -554.579 3.33781 -19.4686
94000 -553.515 3.79936 -20.4761
96000 -552.413 4.00093 -20.712
98000 -551.375 4.13465 -20.0368
100000 -550.404 4.1449 -18.5466
102000 -549.531 4.02378 -16.3033
104000 -548.845 3.68005 -13.578
106000 -548.279 3.18471 -10.3412
108000 -547.924 2.43677 -6.92875
110000 -547.71 1.46132 -3.45429
112000 -547.675 0.481158 0.0657393
114000 -547.796 -0.529341 3.47924
116000 -548.047 -1.38934 6.70586
118000 -548.475 -2.11839 9.69944
120000 -549.026 -2.57626 12.3505
122000 -549.722 -2.95224 14.5946
124000 -550.538 -3.13801 16.3762
126000 -551.428 -3.18271 17.6467
128000 -552.395 -3.1445 18.293
130000 -553.397 -2.98311 18.3937
132000 -554.385 -2.67261 17.8874
134000 -555.365 -2.24755 16.7728
136000 -556.28 -1.80302 15.094
138000 -557.09 -1.29162 12.9899
140000 -557.8 -0.925947 10.3459
142000 -558.32 -0.668291 7.30519
144000 -558.65 -0.619034 3.94272
146000 -558.746 -0.724139 0.222128
148000 -558.566 -0.973138 -3.56268
150000 -558.12 -1.35579 -7.41102
152000 -557.394 -1.73678 -10.9329
154000 -556.42 -2.20401 -14.0283
156000 -555.224 -2.66852 -16.4873
158000 -553.867 -3.12173 -18.1588
160000 -552.372 -3.56962 -18.906
162000 -550.844 -3.96267 -18.7266
164000 -549.338 -4.20302 -17.6464
166000 -547.913 -4.19377 -15.6691
168000 -546.66 -4.02974 -13.0403
170000 -545.613 -3.65018 -9.77949
172000 -544.832 -3.08313 -6.20263
174000 -544.337 -2.50691 -2.43006
176000 -544.135 -1.79293 1.34262
178000 -544.248 -1.11499 5.00341
180000 -544.636 -0.336636 8.49169
182000 -545.312 0.416865 11.6257
184000 -546.226 1.23683 14.2604
186000 -547.374 1.91358 16.4394
188000 -548.668 2.46387 17.8605
190000 -550.082 2.79066 18.6257
192000 -551.523 2.86923 18.6265
194000 -552.967 2.73425 17.8855
196000 -554.283 2.42874 16.402
198000 -555.478 2.10638 14.3551
200000 -556.492 1.72832 11.6849
