# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -551.368 -3.52609 19.0896
2000 -552.82 -3.07384 19.2623
4000 -554.267 -2.56037 18.3348
6000 -555.586 -1.92118 16.6418
8000 -556.787 -1.45854 13.8455
10000 -557.761 -0.918747 10.514
12000 -558.436 -0.609283 6.51266
14000 -558.761 -0.451656 2.14048
16000 -558.742 -0.434416 -2.42689
18000 -558.311 -0.66372 -7.00939
20000 -557.513 -0.982462 -11.0593
22000 -556.381 -1.46291 -14.5282
24000 -554.99 -1.88171 -16.7464
26000 -553.424 -2.43582 -17.7967
28000 -551.791 -2.88897 -17.4877
30000 -550.237 -3.28616 -15.8503
32000 -548.816 -3.69428 -13.1486
34000 -547.678 -3.93319 -9.52122
36000 -546.821 -4.20642 -5.45467
38000 -546.321 -4.35549 -0.987018
40000 -546.203 -4.42195 3.41719
42000 -546.398 -4.40432 7.67731
44000 -546.98 -4.24353 11.5614
46000 -547.854 -4.02171 14.8681
48000 -548.994 -3.64155 17.5424
50000 -550.351 -3.23112 19.1932
52000 -551.82 -2.71611 19.8863
54000 -553.336 -2.23415 19.4911
56000 -554.797 -1.7775 18.0479
58000 -556.127 -1.34199 15.7198
60000 -557.251 -1.03579 12.5187
62000 -558.091 -0.82716 8.67317
64000 -558.588 -0.801128 4.2746
66000 -558.697 -0.889556 -0.500329
68000 -558.405 -1.18091 -5.31473
70000 -557.701 -1.52234 -9.79785
72000 -556.619 -1.96153 -13.6365
74000 -555.249 -2.50848 -16.4591
76000 -553.652 -2.9509 -17.9507
78000 -551.958 -3.47076 -18.1587
80000 -550.293 -3.92179 -16.9027
82000 -548.766 -4.25072 -14.4841
84000 -547.447 -4.52294 -11.1081
86000 -546.45 -4.64877 -7.02961
88000 -545.797 -4.64941 -2.64137
90000 -545.503 -4.47618 1.88164
92000 -545.609 -4.25142 6.1773
94000 -546.085 -3.84288 10.3085
96000 -546.885 -3.38324 13.8573
98000 -547.995 -2.94387 16.7907
100000 -549.347 -2.45844 18.8907
102000 -550.85 -1.98763 20.0007
104000 -552.421 -1.61016 20.0421
106000 -553.971 -1.31592 19.0026
108000 -555.426 -1.00705 17.0159
110000 -556.666 -0.895418 14.0856
112000 -557.645 -0.805143 10.4271
114000 -558.307 -0.91513 6.06163
116000 -558.541 -1.06555 1.21054
118000 -558.382 -1.34222 -3.74551
120000 -557.778 -1.74363 -8.61862
122000 -556.779 -2.11114 -12.7995
124000 -555.44 -2.66411 -16.1729
126000 -553.839 -3.14471 -18.2112
128000 -552.113 -3.64311 -18.87
130000 -550.344 -4.0829 -18.1042
132000 -548.696 -4.41525 -15.9845
134000 -547.251 -4.58535 -12.8053
136000 -546.092 -4.54302 -8.74003
138000 -545.318 -4.36732 -4.36788
140000 -544.912 -4.00256 0.294456
142000 -544.916 -3.56553 4.71041
144000 -545.314 -3.03883 8.98393
146000 -546.065 -2.48863 12.7477
148000 -547.135 -1.96966 15.8693
150000 -548.476 -1.46054 18.2874
152000 -549.987 -1.08385 19.661
154000 -551.604 -0.70985 20.1067
156000 -553.207 -0.513892 19.4034
158000 -554.749 -0.343639 17.7223
160000 -556.096 -0.344414 15.0783
162000 -557.183 -0.416137 11.604
164000 -557.965 -0.581021 7.40575
166000 -558.333 -0.916695 2.63425
168000 -558.295 -1.25245 -2.37319
170000 -557.807 -1.71312 -7.41431
172000 -556.894 -2.15684 -11.9395
174000 -555.608 -2.65221 -15.6966
176000 -554.022 -3.10634 -18.3538
178000 -552.279 -3.48742 -19.5281
180000 -550.445 -3.8411 -19.3031
182000 -548.707 -3.93266 -17.5597
184000 -547.147 -3.95496 -14.6033
186000 -545.866 -3.79568 -10.6717
188000 -544.986 -3.46275 -6.22215
190000 -544.466 -3.05102 -1.51643
192000 -544.393 -2.54502 3.14224
194000 -544.721 -2.01621 7.52471
196000 -545.408 -1.45796 11.5383
198000 -546.453 -0.911467 14.8508
200000 -547.761 -0.394229 17.4727
