# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -353.18 0.616227 14.0529
2000 -353.364 0.476909 14.1483
4000 -353.56 0.335609 14.229
6000 -353.754 0.00605533 14.3041
8000 -353.995 -0.179083 14.2912
10000 -354.269 -0.572844 14.1773
12000 -354.548 -0.707989 13.9795
14000 -354.835 -0.772325 13.6849
16000 -355.132 -0.699726 13.3259
18000 -355.382 -0.535709 12.9932
20000 -355.644 -0.549446 12.6665
22000 -355.878 -0.466745 12.3571
24000 -356.12 -0.536849 12.0744
26000 -356.349 -0.410784 11.7801
28000 -356.543 -0.246404 11.4514
30000 -356.74 -0.0522428 11.038
32000 -356.888 0.183693 10.5662
34000 -357.036 0.23235 10.0623
36000 -357.16 0.389574 9.5357
38000 -357.268 0.45824 9.05129
40000 -357.361 0.59931 8.6366
42000 -357.421 0.671026 8.25823
44000 -357.492 0.630666 7.89979
46000 -357.549 0.514834 7.5638
48000 -357.62 0.297521 7.1345
50000 -357.706 0.214735 6.64023
52000 -357.779 0.118346 6.09617
54000 -357.851 0.134889 5.46665
56000 -357.923 0.0687169 4.82188
58000 -357.994 -0.150465 4.18653
60000 -358.076 -0.349869 3.62426
62000 -358.184 -0.587589 3.06138
64000 -358.279 -0.628179 2.49037
66000 -358.381 -0.581703 1.90892
68000 -358.463 -0.465598 1.20683
70000 -358.512 -0.387579 0.472464
72000 -358.557 -0.29224 -0.356001
74000 -358.559 -0.137334 -1.22096
76000 -358.545 -0.0121671 -2.10041
78000 -358.488 0.244746 -2.90674
80000 -358.41 0.356684 -3.64027
82000 -358.318 0.366204 -4.32706
84000 -358.201 0.28731 -4.92476
86000 -358.111 0.175037 -5.52708
88000 -358 0.146434 -6.16043
90000 -357.887 0.167014 -6.75952
92000 -357.755 0.320283 -7.41743
94000 -357.602 0.293517 -8.02702
96000 -357.442 0.248394 -8.61111
98000 -357.286 0.0958116 -9.11284
100000 -357.131 -0.0409332 -9.53478
102000 -356.987 -0.125354 -9.90118
104000 -356.85 -0.21159 -10.223
106000 -356.708 -0.302319 -10.603
108000 -356.585 -0.453033 -11.0387
110000 -356.459 -0.516808 -11.544
112000 -356.328 -0.512981 -12.0961
114000 -356.191 -0.342003 -12.6818
116000 -356.008 -0.084581 -13.2272
118000 -355.802 0.10096 -13.7242
120000 -355.569 0.246252 -14.1806
122000 -355.319 0.250283 -14.5251
124000 -355.068 0.290302 -14.855
126000 -354.799 0.365789 -15.1909
128000 -354.524 0.477301 -15.4863
130000 -354.222 0.543187 -15.7743
132000 -353.918 0.496505 -16.0488
134000 -353.627 0.34963 -16.1648
136000 -353.347 0.144566 -16.1889
138000 -353.089 -0.0037031 -16.0772
140000 -352.854 -0.106399 -15.8144
142000 -352.615 -0.197043 -15.4896
144000 -352.402 -0.320256 -15.133
146000 -352.212 -0.483286 -14.7551
148000 -352.031 -0.59377 -14.4168
150000 -351.881 -0.635311 -14.1264
152000 -351.715 -0.537389 -13.8519
154000 -351.551 -0.402154 -13.5613
156000 -351.379 -0.325265 -13.2355
158000 -351.212 -0.283666 -12.8793
160000 -351.048 -0.297938 -12.4418
162000 -350.887 -0.198243 -12.0201
164000 -350.721 0.0244715 -11.6271
166000 -350.521 0.310828 -11.2536
168000 -350.304 0.609559 -10.9643
170000 -350.067 0.810719 -10.6686
172000 -349.813 0.876655 -10.3337
174000 -349.567 0.917318 -9.92838
176000 -349.317 0.911408 -9.43477
178000 -349.093 0.813731 -8.76006
180000 -348.885 0.613386 -8.01798
182000 -348.72 0.283548 -7.19159
184000 -348.611 -0.130387 -6.36353
186000 -348.552 -0.459474 -5.53459
188000 -348.529 -0.656039 -4.79688
190000 -348.532 -0.682182 -4.06949
192000 -348.547 -0.641206 -3.37594
194000 -348.567 -0.698624 -2.68527
196000 -348.598 -0.722596 -1.9597
198000 -348.654 -0.793923 -1.18466
200000 -348.713 -0.801976 -0.418114
